grid,case,amplitude,time,chi,delta_chi,predicted_delta_chi,delta_cycles,predicted_cycles,local_a,local_invariant,delta_density,predicted_density
base,quiet,0,4.9,-0.0004364763058830062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,quiet,0,5.0,-0.0004732297763058924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,quiet,0,5.1000000000000005,-0.0005091771549359014,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,5.2,-0.0005442572096087621,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,5.3,-0.0005784101855423515,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,5.4,-0.0006115779071222972,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
base,quiet,0,5.5,-0.0006437038769977653,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
base,quiet,0,5.6000000000000005,-0.0006747333723185442,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
base,quiet,0,5.7,-0.0007046135379494651,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
base,quiet,0,5.8,-0.0007332934765034242,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
base,quiet,0,5.9,-0.0007607243350395949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
base,quiet,0,6.0,-0.0007868593882790818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
base,quiet,0,6.1000000000000005,-0.0008116541181963114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
base,quiet,0,6.2,-0.0008350662898505986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
base,quiet,0,6.3,-0.0008570560233286383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
base,quiet,0,6.4,-0.000877585861675397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
base,quiet,0,6.5,-0.0008966208346977909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
base,quiet,0,6.6000000000000005,-0.0009141285185323991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
base,quiet,0,6.7,-0.0009300790908756998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
base,quiet,0,6.8,-0.0009444453817828798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
base,quiet,0,6.9,-0.0009572029199487266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
base,quiet,0,7.0,-0.0009683299743916695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
base,quiet,0,7.1000000000000005,-0.0009778075914700368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
base,quiet,0,7.2,-0.0009856196271675818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
base,quiet,0,7.3,-0.0009917527745931488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
base,quiet,0,7.4,-0.0009961965866475794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
base,quiet,0,7.5,-0.000998943493819412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
base,quiet,0,7.6000000000000005,-0.0009999888170790922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
base,quiet,0,7.7,-0.0009993307758495577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
base,quiet,0,7.8,-0.0009969704910395706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
base,quiet,0,7.9,-0.0009929119831346743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
base,quiet,0,8.0,-0.0009871621653490448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
base,quiet,0,8.1,-0.0009797308318498954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
base,quiet,0,8.2,-0.0009706306410744021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
base,quiet,0,8.3,-0.0009598770941674398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
base,quiet,0,8.4,-0.0009474885085769901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
base,quiet,0,8.5,-0.0009334859868523062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
base,quiet,0,8.6,-0.0009178933806977982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
base,quiet,0,8.700000000000001,-0.0009007372503437592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
base,quiet,0,8.8,-0.000882046819303403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
base,quiet,0,8.9,-0.0008618539245933601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
base,quiet,0,9.0,-0.0008401929625021823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
base,quiet,0,9.1,-0.0008171008299992749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
base,quiet,0,9.200000000000001,-0.000792616861884332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
base,quiet,0,9.3,-0.0007667827637842933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,quiet,0,9.4,-0.0007396425411118036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,quiet,0,9.5,-0.0007112424241063135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,quiet,0,9.6,-0.0006816307890856422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,quiet,0,9.700000000000001,-0.0006508580760420453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,quiet,0,9.8,-0.0006189767027231145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,quiet,0,9.9,-0.000586040975343995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,quiet,0,10.0,-0.0005521069960830162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,quiet,0,10.1,-0.0005172325675181739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,quiet,0,10.200000000000001,-0.00048147709416724037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,quiet,0,10.3,-0.0004449014812993191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,quiet,0,10.4,-0.00040756803119018517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
