sample,condition_j,det_x,g_xy,det_transform_error,g_transform_error,sl_error,observer_det_error,observer_norm,observer_norm_transformed,norm_transform_error,norm_identity_error,projector_error,projector_trace_error,weighted_ray_error,euclidean_error,euclidean_min_eigenvalue
181,5.213270910289422,-0.027950116871011562,-0.8715578744202761,1.735040738674846e-17,2.653670717917297e-16,3.5108334685767007e-16,2.2206291734699453e-16,1.3759786624960544,1.3759786624960546,1.6137212805483312e-16,3.2274425610966625e-16,1.493705616132259e-16,0.0,1.6026604143880956e-16,9.372450644193853e-16,0.1918181535562072
182,4.205823735025186,-3.092255175337624,2.1876797950950637,1.573181543412034e-16,1.9198440471669916e-16,3.3766115072321297e-16,4.1539530982931705e-17,4.761491554822348,4.7614915548223475,1.865336543127111e-16,0.0,1.4721605830549455e-16,0.0,1.9952758024476914e-16,1.9859473983923523e-15,0.23776555153089704
183,4.631983756452658,-9.670970389694974,-2.3746604369216326,1.2848341407398692e-16,3.621754673921019e-17,5.551115123125783e-17,2.4406926913083952e-17,1.9149683296004611,1.9149683296004611,0.0,2.3190420592632846e-16,1.5123857868290696e-16,1.1102230246251565e-16,2.492322225975484e-16,1.4418899874896025e-16,0.21589022168027538
184,17.551937937908047,-2.385226713015191,-1.1430765118424953,8.410157350419333e-17,0.0,2.7755575615628914e-17,3.8559277963506344e-16,6.396844046671379,6.396844046671381,2.7769269133965896e-16,2.7769269133965896e-16,4.024065161293288e-16,0.0,5.115850229027198e-16,9.010117626047131e-16,0.05697376571963736
185,12.667892530284762,-3.2861894376109135,-0.5647898174929764,2.1699453811712216e-16,7.065484676775272e-17,1.1102230246251565e-16,4.454980381494512e-16,6.004588629122456,6.004588629122455,2.958332284054998e-16,1.331249527824749e-15,2.5879895601626536e-17,0.0,1.6872061609665936e-16,8.350808906721e-16,0.07893972873620161
186,5.962924853441616,-6.306188227174824,-0.15823391305053686,1.513244692027301e-16,3.716936877152411e-17,1.1102230246251565e-16,5.551115123125782e-17,4.273595010352271,4.273595010352273,4.156586749790841e-16,0.0,6.490041333047764e-17,0.0,1.4452656129203784e-16,0.0,0.16770293514982554
187,11.352693722248926,-1.0464778615603954,3.903449886209402,8.837400231139094e-17,1.3303988823560062e-16,2.2887833992611187e-16,6.866350197783357e-16,5.250221406378959,5.250221406378961,5.075091225415743e-16,0.0,1.4265945567795955e-16,0.0,3.225753342575521e-16,1.9011589700246942e-15,0.08808482149396639
188,21.839345122245255,-1.353448747860111,0.20855937325531926,4.3869343040036457e-17,1.3213387492043424e-16,1.2412670766236366e-16,3.140184917367551e-16,3.9491847377851403,3.9491847377851466,1.5743120037954358e-15,4.498034296558387e-16,3.329655881772474e-17,0.0,4.4241330499130105e-16,3.7395243997362425e-15,0.04578891877950073
189,6.395583878220693,-4.0433758716146055,-1.5403002465239188,5.38115918308354e-16,2.358140689811735e-16,2.220446049250313e-16,2.2377774860048115e-16,7.848382838106209,7.84838283810621,1.1316706103934654e-16,2.2633412207869308e-16,7.89458499593344e-17,0.0,1.8215335205360558e-16,1.1454675233055608e-15,0.15635788991922506
190,10.731600987591076,-1.3114100005010725,1.5006064889355049,4.8998372369104216e-17,1.8760698157202575e-16,5.551115123125783e-16,2.227743640795632e-16,0.950902747593064,0.9509027475930644,3.3306690738754696e-16,0.0,6.550351999622796e-17,0.0,1.5491584528933394e-16,4.44762693798701e-16,0.09318274143404048
191,2.5327000113979006,-3.2455968017499033,1.8421386026699624,2.3139853332915777e-17,4.8946747456067935e-17,5.551115123125782e-17,5.825226185467664e-17,4.3379667285546235,4.337966728554624,2.0474532777158006e-16,2.0474532777158006e-16,2.1188139013380976e-17,0.0,1.7161655527004693e-16,1.8929125501361043e-16,0.3948355492161345
192,12.275487342980515,0.8405429755914707,-2.063489881339984,2.3641808494232256e-17,0.0,0.0,2.757567185080133e-16,8.03271783155399,8.032717831553981,1.1057010072122754e-15,2.211402014424551e-16,1.191251284330245e-16,0.0,9.410634426111678e-17,4.386516977145932e-16,0.08146316085542923
193,4.4006791154002025,4.442578628491241,8.400138079801241,1.3232369153579967e-16,2.6951842538601047e-16,4.47545209131181e-16,2.0803114996888807e-17,8.694153838899751,8.694153838899751,0.0,0.0,4.76098412004907e-17,0.0,1.8734274764318782e-16,1.4739676576973463e-16,0.22723765441122257
194,13.458239712234906,-5.392699930348402,2.1278534325010927,1.6838710239681023e-16,5.4291850240336215e-17,4.449557262054371e-16,6.753223014464259e-16,4.343189966472411,4.34318996647241,2.0449909549351672e-16,6.134972864805501e-16,4.2226733002610283e-17,0.0,1.872512715826049e-16,1.4529958568727575e-15,0.07430392245806744
195,15.104352250092113,-0.5495240275704314,-0.05078724875239582,1.4759625281014375e-16,8.803311871637301e-18,3.3306690738754696e-16,4.742874840267548e-16,3.1526477765479837,3.1526477765479766,2.2537967642491116e-15,4.2258689329670844e-16,1.3102196405433226e-16,0.0,1.0707899928260351e-16,2.1447702320890468e-15,0.06620608308402676
196,6.655523067058876,-0.9966349476191406,-1.4679839293461827,4.1415774019741545e-17,1.7804970838214667e-16,2.7755575615628914e-17,1.2130402906779827e-16,5.293795217976042,5.29379521797604,3.3555450603157233e-16,3.3555450603157233e-16,3.081309315124528e-17,0.0,3.891569973063493e-17,1.3705731506284294e-15,0.15025115079976795
197,11.124881924852769,-8.988147036943282,-0.3232848815542234,2.7751425194613175e-17,4.2761952668457094e-18,2.220446049250313e-16,3.4174714094017005e-16,4.654365406982021,4.65436540698202,1.9082696394394978e-16,3.8165392788789955e-16,2.5725357840611538e-17,0.0,1.684939112225042e-16,0.0,0.08988859448171145
198,3.592432887729546,-3.6593491644362794,-1.1639943980786414,1.991013967222255e-16,1.8338595211976904e-16,6.753223014464259e-16,3.332804733024963e-16,0.5229985238406082,0.5229985238406081,1.1102230246251565e-16,1.1102230246251565e-16,1.8200399367213863e-16,0.0,1.2186673543329121e-16,7.126404529960372e-16,0.2783628897885996
199,36.122454329873186,0.014967258265213019,0.9411036094451104,2.3988783687682592e-18,1.0137301179006492e-16,1.2412670766236366e-16,1.1188630228279524e-15,7.292717055900372,7.292717055900364,1.0961080371044536e-15,1.2178978190049485e-15,8.044193789153813e-17,0.0,1.450788856797503e-16,1.1102230246251565e-15,0.027683611718847208
200,10.948599849409336,1.881958004178118,-0.5609419118733128,1.1918663004572633e-16,4.345549439895228e-17,2.0014830212433605e-16,1.7106346828782935e-16,11.800962661763167,11.800962661763153,1.2042114802419667e-15,0.0,1.0332105315100443e-16,0.0,1.6276463682665053e-16,7.30396255588396e-16,0.09133587981608031
201,1.9939177377561215,1.2546264502271092,0.16740436018355964,1.5371337808592202e-16,0.0,2.482534153247273e-16,5.568087084922327e-16,6.659330705479824,6.659330705479823,1.3337352640697989e-16,4.0012057922093963e-16,1.263394069201024e-16,1.1102230246251565e-16,4.506233541967116e-16,1.8844717318328893e-16,0.5015252039060349
202,3.7627092596434206,-0.5852619894562683,4.19455078039843,2.4723681605369827e-17,2.732686934444359e-16,2.2887833992611187e-16,1.1157488581153478e-16,2.6864227678984136,2.6864227678984136,0.0,3.3061751497696934e-16,7.890451173775206e-17,0.0,1.690193405089761e-16,7.723375267502594e-16,0.26576594974408607
203,2.71339575059306,1.222433109008817,1.3896561660160693,1.0877202182307497e-16,2.361639866410835e-16,3.5108334685767007e-16,5.060628495049523e-17,4.016356218287122,4.016356218287121,2.2114034996599772e-16,2.2114034996599772e-16,8.334573600335385e-17,0.0,1.310301459793228e-16,3.3753015335856654e-15,0.3685418906480682
204,1.4344285131419858,5.963077350560655,-0.6201081873301678,6.765481484771285e-17,1.2648804273768507e-16,2.0014830212433605e-16,1.1253241375683337e-16,2.9363990001263383,2.9363990001263387,1.5123599001053866e-16,1.5123599001053866e-16,1.2426848348640792e-16,1.1102230246251565e-16,2.1310366381541445e-16,4.693341198463948e-16,0.6971417472799608
205,6.171709915084399,0.2165154922904223,-0.16054864678527742,1.0996651202671758e-16,5.551115123125783e-17,0.0,1.1102230246251565e-16,2.505363932121828,2.5053639321218264,7.090214785266062e-16,3.545107392633031e-16,1.5109969827991767e-16,0.0,1.8001907187467606e-16,1.1102230246251565e-16,0.162029650414365
206,5.4951240697705535,-1.6242207802016095,-2.767135089599693,1.652157189473454e-17,9.016995381710908e-17,2.2887833992611187e-16,3.3306690738754696e-16,1.6438256755334326,1.6438256755334324,1.3507795153094706e-16,1.3507795153094706e-16,5.983557003148243e-17,0.0,1.944645017049284e-16,2.274235278345594e-16,0.1819795126194037
207,16.41410703382636,-3.76032381401755,0.3316126160344922,3.5349342449781995e-16,1.138388455320772e-16,2.2887833992611187e-16,4.695944831791985e-16,4.450431743904157,4.450431743904158,1.9957129348555464e-16,3.991425869711093e-16,1.4925977936279938e-16,0.0,2.105593685847485e-16,0.0,0.06092320453005449
208,2.7653311026946215,2.4836417411056155,-3.6544354537561716,2.484868200440741e-16,2.3486643896922746e-16,2.2887833992611187e-16,2.0757612126027942e-17,6.045912823231786,6.045912823231787,1.4690559484867958e-16,0.0,7.987180399327836e-17,0.0,2.1566054843348811e-16,5.261670871448931e-16,0.36162034955798616
209,36.51670044990509,-2.9084154078284117,0.04852840905171091,8.119367463465958e-17,2.189450193852024e-17,2.220446049250313e-16,2.710968215929814e-15,12.738251350556924,12.738251350556908,1.2550554322280102e-15,1.8128578465515703e-15,6.139319878091723e-17,0.0,1.6018005762219057e-16,6.8390324601420255e-15,0.02738473048439609
210,7.548557516873237,-8.252739405538208,-3.3055804502951385,2.5556431692964658e-18,5.475207099268204e-17,1.6653345369377348e-16,4.483953600907646e-16,3.833713468106656,3.8337134681066587,6.950272317603071e-16,1.1583787196005119e-15,2.8775190918357575e-17,0.0,9.336778167181086e-17,1.1998860957063484e-15,0.13247564157320224
211,7.017577933111632,-4.42138606837605,4.6377222573026184,4.1423649698924714e-17,0.0,2.7755575615628914e-17,2.2205266885115356e-16,9.914183926863256,9.914183926863256,0.0,3.58346557317153e-16,4.174139541592496e-17,0.0,8.879783512985764e-17,0.0,0.1424993080991113
212,10.634553404379878,-0.8855057447905234,-0.07101720043268056,1.4593130248243298e-16,0.0,3.3610687035593875e-16,1.2681821437361359e-16,3.6193738985308346,3.6193738985308297,1.3496757851775373e-15,2.453955973050068e-16,1.1714013304830743e-16,1.1102230246251565e-16,1.276276048807645e-16,4.440892098500626e-16,0.09403309776865347
213,2.0764313574611246,-1.3413877177843652,-0.7006828126454512,9.153190113020092e-17,7.443192988320067e-17,2.7755575615628907e-17,1.1114893687273726e-16,7.457847529977251,7.45784752997725,1.1909313191641967e-16,4.763725276656787e-16,3.656759561556294e-16,0.0,3.4807278410360936e-16,1.99062573184076e-15,0.4815955010536494
214,3.6288208723481703,-0.9708657675788819,-0.24290994799676693,9.170875786340655e-17,8.416417957479169e-18,1.2412670766236366e-16,1.2862188733160756e-17,1.7406496637700213,1.7406496637700215,1.275642132628294e-16,6.378210663141471e-16,1.4923093216139395e-16,0.0,2.1104216142523335e-16,7.443835897947813e-16,0.2755716071906611
215,22.60919029459277,-0.5247118046919551,1.0048956251842478,9.083738396176783e-18,1.2398939466812159e-16,1.2412670766236366e-16,2.482534153247273e-16,0.8206052692062829,0.8206052692062817,1.1102230246251565e-15,6.661338147750939e-16,2.947948445494334e-17,0.0,3.8876094126556133e-16,4.395681273766705e-16,0.04422980155282995
216,5.355566759683879,2.898344971904997,-0.10900203019156196,7.590564149748797e-17,3.9019715496167347e-17,4.440892098500626e-16,2.2877943420491734e-16,0.9631228498684309,0.9631228498684302,6.661338147750939e-16,3.3306690738754696e-16,1.1576610325220687e-16,0.0,2.758445817390233e-16,4.209277876135735e-16,0.1867216010689838
217,6.31891890420867,-1.0237459690733215,-6.659305163083382,2.6297942187233545e-17,5.126309872868168e-16,2.220446049250313e-16,2.220446049250313e-16,3.617884386698395,3.617884386698396,2.454966286279419e-16,2.454966286279419e-16,2.94943267468531e-16,2.220446049250313e-16,2.240474407272545e-16,2.4000763948499575e-15,0.15825491910237277
218,5.406357842173281,-3.3324343653736825,-0.6719524153311601,2.6380406114336984e-16,7.121898507773614e-17,1.6653345369377353e-16,1.570092458683775e-16,6.6088887279075035,6.608888727907502,2.6878298493651263e-16,1.3439149246825631e-16,1.4706881769171364e-16,0.0,8.02402963590864e-17,7.314140636781405e-16,0.18496740859425145
219,26.439632849958866,-3.511122069509611,2.355594849004361,6.349476388045232e-17,0.0,1.1102230246251565e-16,7.108895957933348e-16,7.202224270061788,7.202224270061787,1.2332001703863985e-16,1.6031602215023181e-15,5.601213339152982e-17,0.0,2.5657114145028817e-16,2.4971182651585344e-15,0.037822007804526374
220,94.61700066298508,-1.9178222466526615,-0.3146834114351238,1.6810297326332673e-16,4.210612530016836e-17,2.482534153247273e-16,7.135041761983608e-15,4.161208091153438,4.161208091153421,4.055406411945315e-15,7.043600610220811e-15,1.2720356115867875e-16,0.0,3.52274013557262e-16,1.1736658512356633e-14,0.010568925171929365
221,10.209657046363683,-2.0328249610846263,1.6115488917369452,2.253989309694188e-16,6.512070680149378e-17,1.2412670766236366e-16,2.220446049250313e-16,7.816302965670708,7.8163029656707055,3.4089457263914216e-16,4.545260968521896e-16,5.466848880412295e-17,0.0,2.752799471754203e-16,1.0165547301533463e-15,0.09794648296792431
222,5.4079816709219095,-2.158732801041361,-3.0336430490094273,4.380077714117142e-16,3.3807878909243065e-16,6.753223014464259e-16,1.6653345369377353e-16,0.9317715106713477,0.9317715106713471,5.551115123125783e-16,1.1102230246251565e-16,1.1305715870005803e-16,0.0,2.0243048418094333e-16,8.220611403917721e-16,0.18491186931658454
223,17.534403489757246,-2.6319370111981044,0.33858405416775017,2.1564959565319555e-16,2.821925591152991e-17,0.0,7.28511426080636e-17,3.144368005379679,3.1443680053796763,8.473993039433169e-16,5.649328692955446e-16,1.1130150363408402e-16,1.1102230246251565e-16,2.058837067571235e-16,9.068633292076808e-16,0.057030739630475835
224,6.939313133962733,-2.041880642434606,2.662366899077472,1.8090665782164115e-16,2.253835532157488e-16,1.387778780781446e-17,1.114801574688954e-16,7.219129608300946,7.21912960830095,4.921249335536791e-16,2.4606246677683957e-16,5.75232532382629e-17,0.0,1.0818147557980511e-16,1.2382645730100905e-16,0.14410648153428207
225,3.6121311908694236,-0.550981173585874,0.9742939305424012,5.3903243799750037e-17,0.0,2.2887833992611187e-16,2.222213218165548e-16,1.9334332920922173,1.9334332920922175,1.1484471992553269e-16,5.742235996276634e-16,7.19878682693459e-18,0.0,5.117404687086572e-16,6.489719744648348e-16,0.276844872779746
226,30.659866913862828,-3.3902046101106365,-0.25117614669055377,1.3307814823041883e-16,2.3081647346233004e-17,4.460365043975677e-16,2.223219874253422e-15,22.155576736767387,22.155576736767436,2.244942304781728e-15,2.244942304781728e-15,2.056447836082041e-17,0.0,6.99945817430917e-17,4.317390085667754e-15,0.03261592761669665
227,10.735543716183882,1.3999471712248637,-1.3487158183736239,1.4526630643436194e-16,1.6472332126176368e-16,1.1443916996305594e-16,9.212352797065012e-17,28.91288529620531,28.91288529620531,0.0,2.4575296739871056e-16,1.244297738141331e-16,0.0,2.3777871772698277e-16,1.5415205234666616e-15,0.0931485192028524
228,5.611006556539744,-3.148631915354736,1.7020455531517416,1.3589121508229156e-17,3.199751823224756e-17,2.220446049250313e-16,2.2364277686834267e-16,13.17140584081883,13.17140584081882,6.743231743323988e-16,1.3486463486647978e-16,3.9726595854045514e-17,0.0,1.6130376593854136e-16,1.7743562717397538e-16,0.17822114266369615
229,16.112489593858783,1.211394796686029,0.4464028702031422,1.0547002592391283e-16,7.67202057360852e-17,0.0,2.7755575615628914e-17,12.528570144098746,12.52857014409875,2.835689658068374e-16,2.835689658068374e-16,1.4264184474702283e-16,1.1102230246251565e-16,3.927236244182221e-16,6.309742216319199e-16,0.06206365528894686
230,39.19483335243154,-3.7163733330752358,-1.1169024752755954,1.2729025528237234e-16,4.759075301329232e-17,5.551115123125783e-17,1.0000677077679748e-15,8.479312931686986,8.479312931686998,1.4664511117798635e-15,1.0474650798427596e-15,1.122044333476513e-16,0.0,3.2773297529720315e-17,1.2461537721256662e-15,0.0255135668267281
231,3.7231988535116307,0.14802883286201762,0.855373026166842,9.031867593994723e-18,1.2973584813963662e-16,1.5700924586837752e-16,4.467136560637079e-16,2.852629118195537,2.8526291181955368,1.5567716357427363e-16,3.1135432714854726e-16,3.587402672160662e-17,0.0,3.6741627785846026e-16,3.3306690738754696e-16,0.26858624514691953
232,11.834034095391674,-2.3497695576208186,0.3519279757448426,1.814562449930335e-16,1.3123870044313956e-16,1.6653345369377343e-16,2.752193749798638e-16,5.928986388788201,5.928986388788203,2.996054844651637e-16,1.4980274223258186e-16,1.6264560350797203e-17,0.0,3.665396165291572e-16,2.9657535209748635e-15,0.08450203809953767
233,27.334241488189914,-0.6496194906160693,0.9277357625756097,4.640076667181858e-17,4.2812158698036905e-17,2.220446049250313e-16,6.811349972075662e-18,2.9807880603948815,2.980788060394871,3.5756118249445614e-15,0.0,7.28956241665556e-17,0.0,4.570991095328664e-16,1.636804086452127e-16,0.03658415033876438
234,5.122272674201634,-2.259540170442451,-6.421242054198915,1.5332117782937438e-16,1.6986141003145021e-16,1.570092458683775e-16,3.381132638709821e-17,5.252361655583348,5.252361655583349,1.6910077369786156e-16,3.382015473957231e-16,8.099390639536724e-17,0.0,1.4556689450448243e-16,3.697344882329933e-16,0.19522584282490507
235,16.4196196860604,-1.6861973530003127,-0.8392050156594824,1.4103129123046619e-16,2.800999323637105e-17,2.7755575615628914e-17,2.237726045655905e-16,6.354427447309244,6.3544274473092415,4.1931948727003913e-16,0.0,2.2732873788390257e-17,0.0,2.2139945904582112e-16,3.509007841387447e-16,0.06090275043635529
236,25.992282974971513,-0.6102670883662712,-1.3443255899910853,7.529434565972296e-17,8.532410990599075e-17,2.336924281732948e-16,4.50287786389375e-16,2.679083735764138,2.679083735764139,3.315232024454793e-16,3.315232024454793e-16,1.1267563584105462e-16,1.1102230246251565e-16,1.9663864336605807e-16,1.5159322015785307e-15,0.038472957568327276
237,10.011664922049057,-2.0930429100226333,0.4417103935571744,1.6591399461532363e-16,7.593819405331244e-17,0.0,6.684427777288335e-16,3.699341517119208,3.699341517119209,3.601364251948455e-16,1.3205002257144335e-15,7.922631890017363e-17,0.0,1.3406112755507178e-16,3.088995030247662e-15,0.09988348669137465
238,3.7259752296886774,-4.467958896244532,-1.5281168525985422,2.2798740556939493e-16,6.95622902239448e-17,1.1102230246251565e-16,3.3356245383044216e-16,12.413411557875957,12.413411557875953,2.8619962064710607e-16,7.154990516177651e-16,1.5045225897067277e-16,0.0,1.3492707031432113e-16,9.649944782617404e-16,0.2683861105763585
239,6.431888535896366,-0.3470434350726438,-0.4716114883312932,2.4822155925977083e-17,3.028735793587866e-17,5.551115123125783e-17,1.1102230246251565e-16,5.757014649348092,5.757014649348092,0.0,4.628328085637406e-16,1.7995653734019293e-16,0.0,1.319319297130695e-16,1.945940651171352e-15,0.15547533114403517
240,5.497491441563658,-2.3455709571520686,2.139087090047963,1.107855443391821e-16,6.152480977334262e-17,1.6653345369377348e-16,2.2887833992611187e-16,0.5500577505623745,0.5500577505623745,0.0,2.220446049250313e-16,1.2856233188778e-16,0.0,1.1490105863112819e-16,4.856647228079868e-16,0.18190114721043898
241,15.337520504941788,1.7172814315368774,2.489277566571513,1.0165591805589755e-16,8.51888054389619e-17,0.0,1.1102230246251565e-16,2.632603628612622,2.6326036286126233,5.06064648346736e-16,1.6868821611557868e-16,6.598234729248363e-17,0.0,1.148114377290232e-16,2.4538642336314644e-15,0.0651995868352931
242,5.297767245798803,4.299348958309541,3.113910326152247,8.840121349827861e-17,6.646116982948234e-17,1.6653345369377348e-16,4.244741166641178e-18,10.033369396250867,10.033369396250869,1.770448958117714e-16,0.0,1.666270876315108e-16,1.1102230246251565e-16,1.1456129708462178e-16,4.801282156603191e-16,0.18875876451405296
243,4.268444853811445,-0.21877533073606123,0.531756200917856,3.688257894666597e-17,5.1618666091024924e-17,2.237726045655905e-16,1.9873226719161895e-17,7.67536397719637,7.6753639771963655,5.785904240755993e-16,0.0,1.4933778754137645e-16,1.1102230246251565e-16,7.46405868460881e-17,2.220446049250313e-16,0.23427736195468543
244,23.886777825657852,-10.472633164386185,-2.63856308577775,4.1448996851287483e-16,4.215640250803853e-17,3.14018491736755e-16,2.482534153247273e-16,13.188350880181725,13.188350880181725,0.0,4.0407406252807564e-16,4.4047004283540544e-17,0.0,1.9134187852539158e-16,4.898875411037103e-16,0.04186416465622097
245,13.227193455780936,-0.9859753758184953,-0.5224843026470962,5.081803164355722e-17,0.0,2.237726045655905e-16,2.0014830212433605e-16,9.223228407129923,9.223228407129922,1.9259599361402086e-16,0.0,8.366396929654903e-17,0.0,3.5996797769706512e-16,5.970530672286431e-16,0.07560182765475032
246,7.484947439478178,-1.8414171104938721,0.6715132497667541,1.5475627198118736e-16,8.449604901055983e-17,0.0,0.0,21.161767759524995,21.161767759524984,5.03650789363012e-16,3.357671929086747e-16,1.6688303024862611e-16,2.220446049250313e-16,3.901620360017523e-16,9.925739582654838e-16,0.13360147256688193
247,3.973856612567824,-3.2644028889962597,-1.0236966417348083,1.145535402389943e-16,1.03939845838048e-16,1.2412670766236366e-16,2.255355431957149e-16,7.726432029295298,7.726432029295296,2.2990648628824685e-16,2.2990648628824685e-16,1.244174044775795e-16,0.0,2.431158227658629e-16,3.5354375671540366e-16,0.25164471129566446
248,8.690385102355988,-12.610258676806037,0.42972781552994777,1.5017344138911994e-16,2.1687349279089552e-17,4.47545209131181e-16,6.684427777288335e-16,9.717752725662042,9.717752725662047,5.483850709771685e-16,3.655900473181123e-16,1.3511518724694944e-16,0.0,1.730552211276716e-16,2.1485320760897824e-15,0.11506969923909462
249,56.090094664099894,-4.850650102155003,-0.7564099148264953,2.8527859462966173e-16,1.5499628319431547e-16,2.220446049250313e-16,2.443985292248907e-15,11.410483901495613,11.410483901495521,8.095235613689063e-15,2.8021969432000606e-15,1.6142149690987655e-16,0.0,1.2062666232104363e-16,1.4979753629654472e-15,0.017828459837500272
250,4.505684092261942,-1.953818984856038,-4.47496185225808,3.969444251582395e-17,0.0,1.2412670766236366e-16,4.447275116184588e-16,0.7629864527085665,0.7629864527085666,1.1102230246251565e-16,1.1102230246251565e-16,8.054751630728579e-17,1.1102230246251565e-16,2.3167583029543414e-16,1.5011409848053975e-16,0.22194188041664872
251,9.243867724203064,-6.861382638405611,3.1877814301139953,2.5266731643758196e-16,3.0901292749315287e-16,4.47545209131181e-16,2.3989572564248896e-17,6.857841402529248,6.857841402529246,2.5902565182465587e-16,0.0,1.2417633520935214e-16,1.1102230246251565e-16,1.0492064575967895e-17,1.2539320870031705e-15,0.10817982578674379
252,5.257251120193974,-0.6764530586893576,0.17010481347315964,1.5440598666435374e-16,4.1372771348580226e-17,1.1102230246251565e-16,9.073852515675303e-18,2.5225890635303356,2.5225890635303356,0.0,0.0,8.689799048951235e-17,0.0,1.774162020167772e-16,5.551115123125783e-16,0.19021347414028508
253,55.25956418163796,0.36047738072433455,-0.5978547221143589,2.1195042957433768e-16,1.906637029915264e-16,2.2887833992611187e-16,1.1226435567921847e-15,19.68031437219712,19.68031437219726,7.0403262291867085e-15,1.0831271121825705e-15,2.6973641733102854e-17,0.0,2.308559182889437e-16,6.59883638883896e-15,0.018096414888695327
254,6.95811915814361,-0.8719999350184677,0.08389633899887472,4.7722926946525314e-17,1.0583072250561041e-16,1.2412670766236366e-16,4.420743740079012e-19,0.4770546864985733,0.47705468649857324,5.551115123125783e-17,3.3306690738754696e-16,7.143695377659465e-17,0.0,9.762949591148036e-17,4.043297041047264e-16,0.14371699841179442
255,28.874533361167433,-0.6338047550710718,-0.33939743958319923,3.502648132256924e-17,7.010720569492252e-17,2.482534153247273e-16,2.4825341532472726e-16,13.477911769845706,13.477911769845704,1.3179763080023384e-16,3.9539289240070147e-16,1.1987087192340752e-16,1.1102230246251565e-16,2.0289560505637745e-16,3.5121994286718334e-15,0.03463259431734655
256,5.7153254416665495,-10.86666617741243,-2.9396830622717873,7.077919016885995e-17,4.6685666219461436e-17,2.220446049250313e-16,2.9841803130619565e-17,5.408179053423079,5.4081790534230745,8.211436889630691e-16,1.6422873779261382e-16,2.6769912223339494e-16,2.220446049250313e-16,9.322618511797477e-17,2.9734596828079256e-16,0.17496816414156954
257,12.510977385445724,-2.6880834620039455,1.5382645397419528,1.6364342374125884e-16,5.633363091060896e-17,5.551115123125782e-17,2.2609357050737057e-16,5.885463021149425,5.885463021149421,6.036421715732162e-16,3.018210857866081e-16,1.183813857848333e-16,0.0,4.155997824925129e-16,5.776351081883132e-16,0.07992980637654147
258,2.041062143356429,-1.6207803873391566,0.5189885851152689,9.809815934461025e-17,0.0,2.775557561562891e-16,1.4637401018022208e-18,1.8008706823606022,1.8008706823606024,1.2329847284424259e-16,1.2329847284424259e-16,5.345965308656919e-17,0.0,1.1747760252948488e-16,3.5618992176799515e-16,0.4899409864883134
259,26.210690837774063,-4.2573116123143055,-0.5926785925916809,1.5879385283249428e-16,9.596479843273258e-17,1.2412670766236366e-16,1.7867691097604874e-15,12.338400134009238,12.338400134009209,2.3035165922414175e-15,1.5836676571659746e-15,1.4900174729084523e-16,0.0,2.995314075362005e-17,2.3347785288486823e-15,0.03815237096150591
260,72.23290024649862,-5.890997410530038,1.2970581462738466,9.821610968841186e-17,0.0,5.551115123125783e-17,5.7699562728547175e-15,106.80148674957216,106.8014867495717,4.390933308833781e-15,5.455401989763182e-15,1.2415710044648848e-16,0.0,2.6684385242567314e-16,1.2568059355249389e-14,0.013844107000934377
261,7.5266017494707596,-6.408958282710703,6.454405013176749,5.354149500157973e-17,5.4719123278857116e-17,2.7755575615628914e-17,1.2412670766236366e-16,4.823922116630068,4.823922116630063,9.205978021890159e-16,1.8411956043780319e-16,1.2953859396168586e-16,0.0,8.117558883530547e-17,1.74124550253238e-15,0.1328620848140828
262,4.59732010955742,-0.9109949044672063,0.607128139106389,9.982334729559737e-17,3.7397814760144876e-17,2.2887833992611187e-16,1.2412670766236366e-16,2.7689207045226922,2.7689207045226927,1.6038350579151558e-16,0.0,1.820028963051301e-16,2.220446049250313e-16,1.4784890584839902e-16,1.4260370421307387e-15,0.2175180270612631
263,6.616377644719513,-2.0929825625000262,1.177218768563151,5.156330014139346e-16,1.5998211754765945e-16,5.551115123125783e-16,1.1102230246251565e-16,14.322402302856812,14.32240230285681,1.240264588187088e-16,4.961058352748352e-16,1.6105626493402306e-16,0.0,1.418148563488007e-16,1.2701678769472022e-15,0.15114010319499807
264,1.6743670400660386,-1.0615164118708,1.1623891030118725,5.194358090618066e-16,3.464017671860141e-16,5.578801654593729e-16,2.222728999242082e-16,2.3775681884470163,2.3775681884470163,0.0,3.735659082317496e-16,9.74906683657701e-17,0.0,1.0995741345282878e-16,9.875218878480245e-16,0.5972406145551923
265,5.123131593350142,-0.44271607664560253,-1.7403433104606925,3.842127368907425e-17,1.1180376256419827e-16,2.482534153247273e-16,1.17191627973879e-16,5.835907041133614,5.8359070411336145,1.5219200947511978e-16,1.5219200947511978e-16,1.6962896267179837e-16,0.0,2.1584537178857604e-16,3.3306690738754696e-16,0.19519311221636523
266,66.74678056549602,-3.462450374875999,0.31302396903801477,1.898720419143832e-16,8.004611508290363e-17,2.220446049250313e-16,4.965068306494545e-16,21.3112646755341,21.31126467553419,4.1676476418585226e-15,1.6670590567434088e-16,6.647733250517377e-17,0.0,2.315087164594794e-16,2.8850360224711758e-15,0.014981996008316388
267,10.337363317757008,-5.136351655402057,4.659949158186655,1.8379625430407086e-16,1.489515749791227e-16,5.551115123125783e-17,4.463570866216116e-16,3.098091792123663,3.0980917921236624,1.433428186276078e-16,1.7201138235312936e-15,1.147400022022122e-16,0.0,1.0828044874648297e-16,1.5247350926913973e-15,0.09673646647228365
