case,time,actual_cycles,second_cycles,fourth_cycles,actual_a,predicted_a
base-broad,2.15,0.0,1.4596e-319,1.4596e-319,1.102565440351447e-309,-5.296352722224592e-297
base-broad,2.1750000000000003,0.0,7.822047e-318,7.822047e-318,8.310118498736224e-308,-3.275927097416411e-295
base-broad,2.2,0.0,3.89629714e-316,3.89629714e-316,5.951092436868177e-306,-1.929669975658376e-293
base-broad,2.225,0.0,1.789088457e-314,1.789088457e-314,4.054104661470189e-304,-1.0837238858047432e-291
base-broad,2.25,0.0,7.4574832297e-313,7.4574832297e-313,2.6303005204368686e-302,-5.80923158913711e-290
base-broad,2.275,0.0,2.7330791582097e-311,2.7330791582097e-311,1.6270970347119417e-300,-2.9753906796322803e-288
base-broad,2.3000000000000003,0.0,8.1070635388159e-310,8.1070635388159e-310,9.606998264670615e-299,-1.4576033956706088e-286
base-broad,2.325,0.0,1.3497558435655086e-308,1.3497558435655086e-308,5.4197649372758414e-297,-6.836508190917191e-285
base-broad,2.35,0.0,-4.8216631895087446e-307,-4.8216631895087446e-307,2.9243444462372075e-295,-3.072867687554128e-283
base-broad,2.375,0.0,-6.704518396966597e-305,-6.704518396966597e-305,1.5106158981721437e-293,-1.3248569728067205e-281
base-broad,2.4,0.0,-4.6571984243607876e-303,-4.6571984243607876e-303,7.477649016447548e-292,-5.484000990694318e-280
base-broad,2.4250000000000003,0.0,-2.5862928921401347e-301,-2.5862928921401347e-301,3.5502277216453864e-290,-2.1812454652825617e-278
base-broad,2.45,0.0,-1.2638163203208133e-299,-1.2638163203208133e-299,1.6181143916407712e-288,-8.343591100250083e-277
base-broad,2.475,0.0,-5.638584959830401e-298,-5.638584959830401e-298,7.085876712959644e-287,-3.071809654214246e-275
base-broad,2.5,0.0,-2.3395459200888235e-296,-2.3395459200888235e-296,2.9837818049005157e-285,-1.089353086536597e-273
base-broad,2.525,0.0,-9.124605367085878e-295,-9.124605367085878e-295,1.2091386927242227e-283,-3.723966298821332e-272
base-broad,2.5500000000000003,0.0,-3.3683039385515286e-293,-3.3683039385515286e-293,4.719070688011641e-282,-1.228075207734409e-270
base-broad,2.575,-7.538425838770894e-18,-1.182508856147242e-291,-1.182508856147242e-291,1.7751438386545431e-280,-3.909633179723132e-269
base-broad,2.6,-7.581327060177506e-18,-3.9621223051594847e-290,-3.9621223051594847e-290,6.440547980274863e-279,-1.202372956880209e-267
base-broad,2.625,0.0,-1.2704774120637877e-288,-1.2704774120637877e-288,2.2554349431079517e-277,-3.5745868952682e-266
base-broad,2.65,0.0,-3.9072612984302105e-287,-3.9072612984302105e-287,7.62874161989495e-276,-1.0279658726888954e-264
base-broad,2.6750000000000003,0.0,-1.154599165888885e-285,-1.154599165888885e-285,2.4938985499182385e-274,-2.8613576208248943e-263
base-broad,2.7,0.0,-3.2833059284011234e-284,-3.2833059284011234e-284,7.884745790187304e-273,-7.713876148056445e-262
