grid,r,phi,Z,mode
base,0.1,0.7426140469967158,1.1102951245593682,0.11238693784406252
base,0.2,0.742611911394754,1.110294490189074,0.1123419113288597
base,0.30000000000000004,0.742608331513518,1.1102934268066582,0.1122668916155165
base,0.4,0.7426032763149143,1.1102919251987289,0.11216191541107458
base,0.5,0.7425967019008287,1.1102899723347976,0.11202703408353193
base,0.6000000000000001,0.742588551062495,1.110287551233819,0.11186231364007737
base,0.7000000000000001,0.7425787526926877,1.1102846407901255,0.11166783469924259
base,0.8,0.7425672210542897,1.110281215556858,0.11144369245707474
base,0.9,0.7425538548972267,1.1102772454845464,0.1111899966474566
base,1.0,0.742538536414085,1.1102726956119944,0.11090687149672708
base,1.1,0.7425211300229846,1.110267525706122,0.1105944556727782
base,1.2000000000000002,0.7425014809643844,1.110261689846861,0.11025290222883434
base,1.3,0.7424794136964808,1.110255135952614,0.1098823785421437
base,1.4000000000000001,0.7424547300716774,1.1102478052411615,0.10948306624784404
base,1.5,0.7424272072742375,1.1102396316202048,0.10905516116829293
base,1.6,0.742396595496669,1.110230541001009,0.10859887323818458
base,1.7000000000000002,0.7423626153295937,1.1102204505277988,0.10811442642581051
base,1.8,0.742324954836817,1.1102092677146964,0.10760205865085443
base,1.9000000000000001,0.742283266283991,1.1101968894810461,0.10706202169915044
base,2.0,0.7422371624856487,1.1101832010749495,0.1064945811348728
base,2.1,0.7421862127314397,1.1101680748737275,0.10590001621066622
base,2.2,0.7421299382480998,1.1101513690488256,0.1052786197762717
base,2.3000000000000003,0.7420678071490069,1.1101329260813873,0.10463069818624787
base,2.4000000000000004,0.7419992288180917,1.1101125711133286,0.10395657120743784
base,2.5,0.7419235476693637,1.1100901101172589,0.10325657192688478
base,2.6,0.741840036217357,1.1100653278669939,0.10253104666095328
base,2.7,0.7417478873873852,1.11003798568873,0.10178035486647301
base,2.8000000000000003,0.7416462059876181,1.1100078189711657,0.101004869054782
base,2.9000000000000004,0.7415339992576533,1.10997453441101,0.10020497470961195
base,3.0,0.7414101664004739,1.1099378069683956,0.09938107020982562
base,3.1,0.7412734869965044,1.1098972765047914,0.09853356675808632
base,3.2,0.7411226081899438,1.109852544074053,0.09766288831661517
base,3.3000000000000003,0.7409560305287776,1.1098031678353926,0.09676947155126515
base,3.4000000000000004,0.7407720923309749,1.109748658555282,0.09585376578522241
base,3.5,0.7405689524405359,1.1096884746637745,0.09491623296372347
base,3.6,0.7403445712285245,1.1096220168295097,0.09395734763125932
base,3.7,0.740096689686314,1.109548622016928,0.09297759692281898
base,3.8000000000000003,0.7398228064514061,1.109467556989127,0.09197748057080485
base,3.9000000000000004,0.7395201526008934,1.1093780112205698,0.09095751092933149
base,4.0,0.7391856640445901,1.1092790891858084,0.0899182130176925
base,4.1000000000000005,0.7388159513498991,1.1091698019938112,0.08886012458484756
base,4.2,0.7384072668346779,1.1090490583428518,0.0877837961968411
base,4.3,0.7379554687739672,1.1089156547786811,0.08668979134910718
base,4.4,0.7374559825830653,1.1087682652495108,0.0855786866056456
base,4.5,0.73690375886493,1.1086054299658525,0.08445107176705882
base,4.6000000000000005,0.7362932282465288,1.108425543592339,0.08330755006941767
base,4.7,0.7356182529792518,1.1082268428232493,0.08214873841586572
base,4.800000000000001,0.7348720753459018,1.1080073934246386,0.0809752676427671
base,4.9,0.7340472630047503,1.107765076864953,0.07978778282204527
base,5.0,0.7331356515136954,1.1074975767040822,0.078586943601129
base,5.1000000000000005,0.7321282844192532,1.1072023649693357,0.07737342458160994
base,5.2,0.7310153514707903,1.1068766888171926,0.07614791573729829
base,5.300000000000001,0.72978612573521,1.1065175578631214,0.07491112287182161
base,5.4,0.7284289006463203,1.1061217326593613,0.07366376811521956
base,5.5,0.7269309283310571,1.1056857149128505,0.0724065904581158
base,5.6000000000000005,0.7252783609154758,1.1052057401624478,0.07114034632096272
base,5.7,0.7234561969291621,1.1046777737750413,0.0698658101545187
base,5.800000000000001,0.7214482353971908,1.104097511271544,0.06858377506608533
base,5.9,0.7192370407299242,1.1034603841515878,0.0672950534640665
base,6.0,0.7168039220835495,1.1027615725428719,0.06600047771104771
base,6.1000000000000005,0.7141289314521714,1.101996026147404,0.06470090077280502
base,6.2,0.7111908853404236,1.1011584950782591,0.06339719684737535
base,6.300000000000001,0.7079674154181126,1.1002435722587605,0.062090261954527784
base,6.4,0.7044350540267761,1.0992457490683414,0.06078101446164278
base,6.5,0.7005693607296452,1.0981594858386288,0.059470395517137606
base,6.6000000000000005,0.6963450961943606,1.0969792985987867,0.05815936935721291
base,6.7,0.6917364494817227,1.095699863108316,0.056848923445928345
base,6.800000000000001,0.6867173241838108,1.0943161366668346,0.05554006840260817
base,6.9,0.681261687707899,1.092823497427723,0.0542338376645804
base,7.0,0.6753439862425425,1.0912178999507935,0.05293128682761974
base,7.1000000000000005,0.6689396254940689,1.089496044511229,0.05163349260167548
base,7.2,0.6620255141096704,1.0876555562664347,0.05034155131612136
base,7.300000000000001,0.6545806628313403,1.0856951688305434,0.049056576907590126
base,7.4,0.6465868279578095,1.0836149052177084,0.047779698325270514
base,7.5,0.6380291828328223,1.0814162476292637,0.0465120562942041
base,7.6000000000000005,0.628896996139538,1.0791022863506667,0.04525479938744817
base,7.7,0.6191842911798731,1.0766778372887844,0.04400907937363289
