background,step_map_error,ode_jacobian_error,backreaction_difference,max_low_q_growth,max_path_growth,eigenvalue_refinement,minimum_unit_multiplicity,max_eigenvector_condition
vacuum,4.712388037457356e-10,1.2205347843519121e-11,1.5708068441136224e-10,7.264810974752302e-11,1.4142220726819664e-10,9.890522088309296e-10,12,2.5310879570155125
equal,4.712386548114457e-10,1.3877787807814457e-11,1.618070327773636e-10,7.700817760950468e-11,1.4393886082005787e-10,9.84478154885555e-10,12,2.6029763800630694
counter,3.6499514521892706e-10,6.106205291313987e-11,0.44444444447793086,3.9307668230686044e-11,3.9307668230686044e-11,7.913617981253219e-10,0,10.833976494410841
