attempts,omega,profile,E,E_over_Q,Q,center,eigenvalue,profile_residual,tail_at_three_quarters
5,0.868,unresolved,,,,,,,
5,0.875,unresolved,,,,,,,
,0.9,solved,2615.9859600628142,0.919412253680748,2845.280721015032,0.7426140469967158,0.17036248958684702,6.362688154126772e-13,1.9107662887011436e-11
,0.94,solved,354.54585461911637,0.9777126060565061,362.62788515035845,0.7402287149499772,0.2487757595136126,3.402833570476105e-14,2.2342074743966915e-10
