grid,case,pattern,amplitude,time,local_chi,upstream_a,delta_chi,predicted_delta_chi,total_energy,charge
base,6,counter,-0.004,0.6,0.0009694911404520784,-4.0608288704199804e-12,0.0,-1.1547264750550438e-36,2616.0857915515044,2845.2807209747075
base,0,single,0,0.7000000000000001,0.0009585507143126024,0.0,0.0,0.0,2616.013373473153,2845.2807209679872
base,1,single,0.002,0.7000000000000001,0.0009585507143126024,4.746246126140851e-11,0.0,0.0,2616.0301048814777,2845.280720967987
base,2,single,0.004,0.7000000000000001,0.0009585507143126024,9.492492252281702e-11,0.0,0.0,2616.080299106451,2845.2807209679872
base,3,single,0.008,0.7000000000000001,0.0009585507143126024,1.8984984504563403e-10,0.0,0.0,2616.2810760063467,2845.280720967987
base,4,single,-0.004,0.7000000000000001,0.0009585507143126024,-9.492492252281702e-11,0.0,0.0,2616.080299106451,2845.2807209679872
base,5,counter,0.004,0.7000000000000001,0.0009585507143126024,9.492492252281702e-11,0.0,-8.7247359727661e-34,2616.0857915454467,2845.280720967987
base,6,counter,-0.004,0.7000000000000001,0.0009585507143126024,-9.492492252281702e-11,0.0,-8.7247359727661e-34,2616.0857915454467,2845.280720967987
base,0,single,0,0.8,0.0009459775083182157,0.0,0.0,0.0,2616.013373467104,2845.2807209612665
base,1,single,0.002,0.8,0.0009459775083182157,6.55696138032759e-10,0.0,0.0,2616.0301048754277,2845.2807209612665
base,2,single,0.004,0.8,0.0009459775083182157,1.311392276065518e-09,0.0,0.0,2616.0802991003975,2845.2807209612665
base,3,single,0.008,0.8,0.0009459775083182157,2.622784552131036e-09,0.0,0.0,2616.2810760002776,2845.2807209612665
base,4,single,-0.004,0.8,0.0009459775083182157,-1.311392276065518e-09,0.0,0.0,2616.0802991003975,2845.2807209612665
base,5,counter,0.004,0.8,0.0009459775083182157,1.311392276065518e-09,0.0,-2.4219661197083357e-31,2616.085791539388,2845.2807209612665
base,6,counter,-0.004,0.8,0.0009459775083182157,-1.311392276065518e-09,0.0,-2.4219661197083357e-31,2616.085791539388,2845.2807209612665
base,0,single,0,0.9,0.0009317929395067044,0.0,0.0,0.0,2616.0133734610554,2845.2807209545454
base,1,single,0.002,0.9,0.0009317929395067044,5.972947417739674e-09,0.0,0.0,2616.0301048693777,2845.280720954545
base,2,single,0.004,0.9,0.0009317929395067044,1.1945894835479348e-08,0.0,0.0,2616.0802990943434,2845.2807209545454
base,3,single,0.008,0.9,0.0009317929395067044,2.389178967095869e-08,0.0,0.0,2616.2810759942076,2845.2807209545454
base,4,single,-0.004,0.9,0.0009317929395067044,-1.1945894835479348e-08,0.0,0.0,2616.0802990943434,2845.2807209545454
base,5,counter,0.004,0.9,0.0009317929395067044,1.1945894835479348e-08,0.0,-3.15449503375377e-29,2616.0857915333295,2845.2807209545454
base,6,counter,-0.004,0.9,0.0009317929395067044,-1.1945894835479348e-08,0.0,-3.15449503375377e-29,2616.0857915333295,2845.2807209545454
