lambda,mode,s,wave_change,memory_change,wave_z_change,memory_z_change,total_change
0,reciprocal,0.0,0.0,0.0,0.0,0.0,0.0
0,reciprocal,0.125,0.09262241670112166,0.09262241670112152,0.06286000200293729,-0.06286000200294511,5.233875892708201e-14
0,reciprocal,0.25,0.18350255239774815,0.18350255239774815,0.1532223749788285,-0.15322237497883806,6.514437591953111e-14
0,reciprocal,0.375,0.2709308993947845,0.27093089939478443,0.2643200194260734,-0.2643200194262353,1.088912193617169e-12
0,reciprocal,0.5,0.35326288013011065,0.35326288013011065,0.38783300317132285,-0.38783300317151104,1.2646015964530106e-12
0,reciprocal,0.625,0.4289497826258388,0.4289497826258392,0.5145116283239572,-0.5145116283238188,9.3541960767508e-13
0,reciprocal,0.75,0.49656789265497214,0.4965678926549724,0.6348691269635027,-0.6348691269632573,1.653967030135256e-12
0,reciprocal,0.875,0.5548452746236456,0.5548452746236461,0.7398921106404694,-0.7398921106404749,3.2568184744806185e-14
0,reciprocal,1.0,0.6026856974099954,0.6026856974099958,0.8217155692062745,-0.8217155692062738,7.608876058409403e-15
0,frozen,0.0,0.0,0.0,0.0,0.0,0.0
0,frozen,0.125,0.09231802310281231,0.0,0.0692884599412108,0.0,0.09231802310281227
0,frozen,0.25,0.1810883163502756,0.0,0.17432541435202642,0.0,0.1810883163502756
0,frozen,0.375,0.2628994871558071,0.0,0.29911993908629736,0.0,0.2628994871558071
0,frozen,0.5,0.33460757810558545,0.0,0.42467319901818773,0.0,0.33460757810558545
0,frozen,0.625,0.39345688747909024,0.0,0.5318708484665725,0.0,0.39345688747909024
0,frozen,0.75,0.43718586932038683,0.0,0.604393017052658,0.0,0.4371858693203869
0,frozen,0.875,0.4641140433804411,0.0,0.63119886202383,0.0,0.4641140433804411
0,frozen,1.0,0.47320657503050795,0.0,0.6082074364770553,0.0,0.47320657503050795
0.1,reciprocal,0.0,0.0,0.0,0.0,0.0,0.0
0.1,reciprocal,0.125,0.09262241670111877,0.09262241670111833,0.06286000200296826,-0.0628600020029706,1.6581256138813618e-14
0.1,reciprocal,0.25,0.18350255239785773,0.18350255239784546,0.15322237497809088,-0.15322237497828162,9.513287673413686e-13
0.1,reciprocal,0.375,0.2709308993945872,0.2709308993945802,0.2643200194266312,-0.26432001942668515,2.517677405677263e-13
0.1,reciprocal,0.5,0.35326288012923407,0.3532628801292606,0.38783300317259733,-0.38783300317226044,1.8589038371583363e-12
0.1,reciprocal,0.625,0.4289497826262111,0.4289497826262091,0.5145116283237614,-0.5145116283237706,6.331858970588247e-14
0.1,reciprocal,0.75,0.49656789265587836,0.4965678926558663,0.6348691269637609,-0.6348691269638124,3.7209502099505967e-13
0.1,reciprocal,0.875,0.5548452746242314,0.5548452746241866,0.7398921106409204,-0.7398921106410653,1.1755936283170962e-12
0.1,reciprocal,1.0,0.6026856974099891,0.6026856974099891,0.8217155692062647,-0.8217155692062635,7.347734953372944e-15
0.1,frozen,0.0,0.0,0.0,0.0,0.0,0.0
0.1,frozen,0.125,0.09231802310282883,0.0,0.06928845994102484,0.0,0.09231802310282879
0.1,frozen,0.25,0.18108831635038838,0.0,0.17432541435176385,0.0,0.18108831635038836
0.1,frozen,0.375,0.26289948715609224,0.0,0.299119939086242,0.0,0.2628994871560923
0.1,frozen,0.5,0.3346075781061151,0.0,0.42467319901858436,0.0,0.3346075781061151
0.1,frozen,0.625,0.3934568874796079,0.0,0.5318708484672207,0.0,0.3934568874796079
0.1,frozen,0.75,0.4371858693204205,0.0,0.6043930170527083,0.0,0.4371858693204205
0.1,frozen,0.875,0.4641140433797652,0.0,0.6311988620227844,0.0,0.46411404337976525
0.1,frozen,1.0,0.47320657503050706,0.0,0.6082074364770564,0.0,0.47320657503050706
