sample,lambda,order_signal,frozen_charge,memory_response
0,0,0.13147920795480825,0.3204085270548505,0.6026856974099958
0,0.1,0.13147920795477272,0.3204085270548499,0.6026856974099891
1,0,0.4320182655024093,0.3416594939060005,0.5211958146226752
1,0.1,0.4320182655026004,0.34165949390600053,0.5211958146226676
2,0,0.06727864634082759,0.1984040083053862,0.3365295763037134
2,0.1,0.06727864634082695,0.19840400830538618,0.33652957630371255
3,0,0.1539242415423184,0.5210044160749616,0.7092252826925342
3,0.1,0.15392424154238923,0.5210044160749617,0.7092252826925326
