sample,lambda,resolution,event,N_error,memory_norm_error,J_error,H_error,memory_change
1,0,fine,5,1.0034306718864627e-11,5.781153333828092e-12,8.692105891850408e-12,1.1508238806356985e-11,0.9386448730126153
1,0,fine,6,1.782740621791845e-13,4.085620730620568e-14,1.8303917839182133e-13,4.0004111134805953e-13,0.1869962558850884
1,0,fine,7,3.3140157285060923e-13,1.1091128016005314e-13,3.3858196327665997e-13,8.444078769542784e-13,0.27161002459415906
1,0,fine,8,6.132316876517052e-13,1.8807178037150152e-13,6.068654635981732e-13,1.8641754806481003e-12,0.15187665085350358
1,0,fine,9,8.312239785368547e-13,3.977929097231936e-13,8.49844845089452e-13,2.1527224447481785e-12,0.34156595781741733
1,0,fine,10,2.8806733728846423e-12,2.244204821977287e-12,2.4776543755966607e-12,2.888689287772195e-12,0.7701589065834467
1,0,fine,11,6.895595205946847e-13,2.2570834090629432e-13,7.005933195381805e-13,1.7563173138057664e-12,0.27161002459415223
1,0.1,base,0,1.0637934977353325e-11,4.993339075554104e-12,8.43852667131764e-12,2.7632451882197984e-11,0.5211958146227692
1,0.1,base,1,3.21637161349031e-11,1.8861023853844472e-11,3.3202769075895664e-11,9.640144099948133e-11,0.43547311731194327
1,0.1,base,2,4.5957682104358355e-12,1.8332002582610585e-12,4.365343586472995e-12,1.5945245124271423e-11,0.0921408565495971
1,0.1,base,3,7.042699756709681e-13,2.76445533131664e-13,7.547603371012371e-13,1.84385839929746e-12,0.2716100245941565
1,0.1,base,4,2.600099260463491e-12,1.5307755063531658e-12,2.1808613690443655e-12,5.057898544436057e-12,0.5304838399272866
1,0.1,base,5,1.6348589149117743e-11,8.734124534726021e-12,1.4177538860312067e-11,2.224465056599456e-11,0.9393928392378094
1,0.1,base,6,1.7541523789077473e-13,4.596323321948136e-14,1.8562814613198964e-13,3.972239204230732e-13,0.18634122003245981
1,0.1,base,7,6.895595205946847e-13,2.4424906541753444e-13,6.865857665355811e-13,1.8077761509971424e-12,0.27161002459414385
1,0.1,base,8,1.4369061496211089e-12,4.0234482412415673e-13,1.3953462808035886e-12,4.414635323968241e-12,0.15065630751825218
1,0.1,base,9,1.1265433030871463e-12,5.786482404346316e-13,1.2065131381966562e-12,2.9312108296153383e-12,0.37136924258892123
1,0.1,base,10,4.726587247846095e-12,3.3437697055660384e-12,4.044524226458061e-12,6.036393607189439e-12,0.724119194537655
1,0.1,base,11,1.1600165272795948e-12,3.61710661422876e-13,1.1722861367819281e-12,3.038791440701516e-12,0.2716100245941288
1,0.1,fine,0,4.262146191535976e-12,2.1804780203638074e-12,3.3076740515337957e-12,1.1019296586312066e-11,0.5211958146226676
1,0.1,fine,1,2.0018320334713735e-11,7.691292047695697e-12,1.727241815518112e-11,5.561408809878844e-11,0.43547311731089017
1,0.1,fine,2,1.7996715229173788e-12,6.137312880127865e-13,1.638863049565318e-12,6.165512544953344e-12,0.09214085654955845
1,0.1,fine,3,4.158340338733524e-13,1.6719958750854857e-13,4.4708320758338756e-13,1.0893508317622036e-12,0.2716100245941643
