preparation,time,local_chi,mode_coordinate,mode_momentum,mode_energy_fraction,charge_fraction,charge_balance_fraction,total_energy,outer_energy_sink,core_peak
0.0000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2615.9859600628142,0.0,0.7426140469967158
0.0000,0.8,0.0,0.0,0.0,0.0,1.0,0.0,2615.986012693903,1.2897696424493977e-20,0.742662335624419
0.0000,1.6,0.0,0.0,0.0,0.0,1.0,0.0,2615.9860654097574,2.5760431363155788e-20,0.7426951656457959
0.0000,2.4,0.0,0.0,0.0,0.0,1.0000000000000002,1.5982512640237355e-16,2615.986017085875,3.861745461619983e-20,0.7426363668194091
0.0000,3.2,0.0,0.0,0.0,0.0,1.0,0.0,2615.9859668567096,5.144853449875093e-20,0.7426221172100113
0.0000,4.0,0.0,0.0,0.0,0.0,1.0000000000000002,1.5982512640237355e-16,2615.9860054234546,6.422674695714652e-20,0.7426845968204123
0.0000,4.8,0.0,0.0,0.0,0.0,1.0000000000000002,1.5982512640237355e-16,2615.986051345262,7.697281813752714e-20,0.7426774990837226
0.0000,5.6000000000000005,0.0,0.0,0.0,0.0,1.0000000000000002,1.5982512640237355e-16,2615.9860276084273,8.971704092226732e-20,0.7426160881703056
0.0000,6.4,0.0,0.0,0.0,0.0,1.0000000000000002,1.5982512640237355e-16,2615.9859896212147,1.02445169890717e-19,0.7426415770394659
0.0000,7.2,0.0,0.0,0.0,0.0,1.0000000000000002,1.5982512640237355e-16,2615.9860001481024,1.1513165837182537e-19,0.7426914861007017
0.0000,8.0,0.0,0.0,0.0,0.0,1.0,0.0,2615.9860350396884,1.2779313753704297e-19,0.7426413413572481
0.0000,8.8,0.0,0.0,0.0,0.0,1.0000000000000002,1.5982512640237355e-16,2615.986044552616,1.4045972345536306e-19,0.7425937266409368
0.0000,9.6,0.0,0.0,0.0,0.0,1.0,0.0,2615.9860190656022,1.531221902268209e-19,0.7426381553927821
0.0000,10.4,0.0,0.0,0.0,0.0,1.0,0.0,2615.985996708486,1.6575622233559746e-19,0.7426205493990382
0.0000,11.200000000000001,0.0,0.0,0.0,0.0,1.0,0.0,2615.9860198978663,1.7837437419963724e-19,0.7425142707855222
0.0000,12.0,0.0,0.0,0.0,0.0,1.0,0.0,2615.9860600701327,1.910058839081899e-19,0.7425248969281589
0.0000,12.8,0.0,0.0,0.0,0.0,1.0,0.0,2615.9860455224175,2.0364549990222181e-19,0.7425963732091535
0.0000,13.6,0.0,0.0,0.0,0.0,1.0,0.0,2615.9859967779958,2.1626974575631613e-19,0.7425495811414599
0.0000,14.4,0.0,0.0,0.0,0.0,1.0,0.0,2615.986008859739,2.2888723493133836e-19,0.7425137821290929
0.0000,15.200000000000001,0.0,0.0,0.0,0.0,0.9999999999999997,-3.196502528047471e-16,2615.986068049072,2.4152602811925294e-19,0.7425823370483707
0.0000,16.0,0.0,0.0,0.0,0.0,0.9999999999999997,-3.196502528047471e-16,2615.9860636654475,2.541840368083796e-19,0.742594679433308
0.0000,16.8,0.0,0.0,0.0,0.0,1.0,0.0,2615.9860028640555,2.668381254493337e-19,0.7425452392325235
0.0000,17.6,0.0,0.0,0.0,0.0,1.0,0.0,2615.9860034177345,2.7949299698057083e-19,0.7425738964161067
0.0000,18.400000000000002,0.0,0.0,0.0,0.0,1.0,0.0,2615.986065204526,2.921754801336778e-19,0.7426152651701027
0.0000,19.2,0.0,0.0,0.0,0.0,1.0000000000000002,1.5982512640237355e-16,2615.986072199836,3.048862331188516e-19,0.7425771746465853
0.0000,20.0,0.0,0.0,0.0,0.0,1.0000000000000002,1.5982512640237355e-16,2615.986016539702,3.176020468910415e-19,0.7425661535205257
0.0000,20.8,0.0,0.0,0.0,0.0,1.0,0.0,2615.9860047476923,3.303235563203548e-19,0.7426178053257116
0.0000,21.6,0.0,0.0,0.0,0.0,1.0000000000000002,1.5982512640237355e-16,2615.9860538683415,3.4307634958533866e-19,0.7426134961306865
0.0000,22.400000000000002,0.0,0.0,0.0,0.0,1.0,0.0,2615.986073596282,3.5586382238984436e-19,0.7425698896502362
0.0000,23.2,0.0,0.0,0.0,0.0,1.0,0.0,2615.9860360010557,3.686625560799498e-19,0.742595636821566
0.0000,24.0,0.0,0.0,0.0,0.0,1.0,0.0,2615.9860086198396,3.8146881794470715e-19,0.7426350029579648
0.0000,24.8,0.0,0.0,0.0,0.0,1.0,0.0,2615.9860314258112,3.943068033672588e-19,0.7426040132495095
0.0000,25.6,0.0,0.0,0.0,0.0,1.0000000000000002,1.5982512640237355e-16,2615.986063299101,4.0718292247519717e-19,0.7425812306950027
0.0000,26.400000000000002,0.0,0.0,0.0,0.0,1.0000000000000002,1.5982512640237355e-16,2615.9860508045567,4.200738326256275e-19,0.7426194716024338
0.0000,27.2,0.0,0.0,0.0,0.0,1.0000000000000002,1.5982512640237355e-16,2615.9860084342663,4.329711353824324e-19,0.7426338781505004
0.0000,28.0,0.0,0.0,0.0,0.0,1.0000000000000002,1.5982512640237355e-16,2615.986003903354,4.458972078531181e-19,0.7426029118409871
0.0000,28.8,0.0,0.0,0.0,0.0,1.0000000000000002,1.5982512640237355e-16,2615.9860475620762,4.588618541570587e-19,0.7426037044525234
0.0000,29.6,0.0,0.0,0.0,0.0,1.0000000000000002,3.196502528047471e-16,2615.986059787571,4.718425370919293e-19,0.7426312682264764
