triad,order,qx,qy,qz,phase
orthogonal,forward,-3.141592653589793,-3.141592653589793,-3.141592653589793,3.141592653589793
orthogonal,forward,-3.141592653589793,-3.141592653589793,0.0,0.0
orthogonal,forward,-3.141592653589793,0.0,-3.141592653589793,1.1102230246251565e-16
orthogonal,forward,-3.141592653589793,0.0,0.0,3.141592653589793
orthogonal,forward,0.0,-3.141592653589793,-3.141592653589793,1.1102230246251565e-16
orthogonal,forward,0.0,-3.141592653589793,0.0,3.141592653589793
orthogonal,forward,0.0,0.0,-3.141592653589793,3.141592653589793
orthogonal,forward,0.0,0.0,0.0,0.0
orthogonal,forward,-1.5707963267948966,-1.5707963267948966,-1.5707963267948966,3.141592653589793
orthogonal,forward,-1.5707963267948966,-1.5707963267948966,1.5707963267948966,8.326672684688674e-17
orthogonal,forward,-1.5707963267948966,1.5707963267948966,-1.5707963267948966,8.326672684688674e-17
orthogonal,forward,-1.5707963267948966,1.5707963267948966,1.5707963267948966,3.141592653589793
orthogonal,forward,1.5707963267948966,-1.5707963267948966,-1.5707963267948966,8.326672684688674e-17
orthogonal,forward,1.5707963267948966,-1.5707963267948966,1.5707963267948966,3.141592653589793
orthogonal,forward,1.5707963267948966,1.5707963267948966,-1.5707963267948966,3.141592653589793
orthogonal,forward,1.5707963267948966,1.5707963267948966,1.5707963267948966,8.326672684688674e-17
orthogonal,reverse,-3.141592653589793,-3.141592653589793,-3.141592653589793,3.141592653589793
orthogonal,reverse,-3.141592653589793,-3.141592653589793,0.0,0.0
orthogonal,reverse,-3.141592653589793,0.0,-3.141592653589793,1.1102230246251565e-16
orthogonal,reverse,-3.141592653589793,0.0,0.0,3.141592653589793
orthogonal,reverse,0.0,-3.141592653589793,-3.141592653589793,1.1102230246251565e-16
orthogonal,reverse,0.0,-3.141592653589793,0.0,3.141592653589793
orthogonal,reverse,0.0,0.0,-3.141592653589793,3.141592653589793
orthogonal,reverse,0.0,0.0,0.0,0.0
orthogonal,reverse,-1.5707963267948966,-1.5707963267948966,-1.5707963267948966,8.326672684688674e-17
orthogonal,reverse,-1.5707963267948966,-1.5707963267948966,1.5707963267948966,3.141592653589793
orthogonal,reverse,-1.5707963267948966,1.5707963267948966,-1.5707963267948966,3.141592653589793
orthogonal,reverse,-1.5707963267948966,1.5707963267948966,1.5707963267948966,8.326672684688674e-17
orthogonal,reverse,1.5707963267948966,-1.5707963267948966,-1.5707963267948966,3.141592653589793
orthogonal,reverse,1.5707963267948966,-1.5707963267948966,1.5707963267948966,8.326672684688674e-17
orthogonal,reverse,1.5707963267948966,1.5707963267948966,-1.5707963267948966,8.326672684688674e-17
orthogonal,reverse,1.5707963267948966,1.5707963267948966,1.5707963267948966,3.141592653589793
oblique,forward,-3.141592653589793,-3.141592653589793,-3.141592653589793,3.141592653589793
oblique,forward,-3.141592653589793,-3.141592653589793,0.0,2.7755575615628907e-17
oblique,forward,-3.141592653589793,0.0,-3.141592653589793,2.220446049250313e-16
oblique,forward,-3.141592653589793,0.0,0.0,3.141592653589793
oblique,forward,0.0,-3.141592653589793,-3.141592653589793,1.1102230246251568e-16
oblique,forward,0.0,-3.141592653589793,0.0,3.141592653589793
oblique,forward,0.0,0.0,-3.141592653589793,3.141592653589793
oblique,forward,0.0,0.0,0.0,0.0
oblique,forward,-1.5707963267948966,-1.5707963267948966,-1.5707963267948966,2.3361891530153507
oblique,forward,-1.5707963267948966,-1.5707963267948966,1.5707963267948966,0.8054035005744428
oblique,forward,-1.5707963267948966,1.5707963267948966,-1.5707963267948966,0.8054035005744427
oblique,forward,-1.5707963267948966,1.5707963267948966,1.5707963267948966,2.3361891530153507
oblique,forward,1.5707963267948966,-1.5707963267948966,-1.5707963267948966,0.8054035005744427
oblique,forward,1.5707963267948966,-1.5707963267948966,1.5707963267948966,2.3361891530153507
oblique,forward,1.5707963267948966,1.5707963267948966,-1.5707963267948966,2.3361891530153507
oblique,forward,1.5707963267948966,1.5707963267948966,1.5707963267948966,0.8054035005744429
oblique,reverse,-3.141592653589793,-3.141592653589793,-3.141592653589793,3.141592653589793
oblique,reverse,-3.141592653589793,-3.141592653589793,0.0,2.7755575615628914e-16
oblique,reverse,-3.141592653589793,0.0,-3.141592653589793,1.249000902703301e-16
oblique,reverse,-3.141592653589793,0.0,0.0,3.141592653589793
oblique,reverse,0.0,-3.141592653589793,-3.141592653589793,2.220446049250313e-16
oblique,reverse,0.0,-3.141592653589793,0.0,3.141592653589793
oblique,reverse,0.0,0.0,-3.141592653589793,3.141592653589793
oblique,reverse,0.0,0.0,0.0,0.0
oblique,reverse,-1.5707963267948966,-1.5707963267948966,-1.5707963267948966,0.8054035005744431
oblique,reverse,-1.5707963267948966,-1.5707963267948966,1.5707963267948966,2.3361891530153507
oblique,reverse,-1.5707963267948966,1.5707963267948966,-1.5707963267948966,2.3361891530153507
oblique,reverse,-1.5707963267948966,1.5707963267948966,1.5707963267948966,0.8054035005744429
oblique,reverse,1.5707963267948966,-1.5707963267948966,-1.5707963267948966,2.3361891530153507
oblique,reverse,1.5707963267948966,-1.5707963267948966,1.5707963267948966,0.8054035005744428
oblique,reverse,1.5707963267948966,1.5707963267948966,-1.5707963267948966,0.8054035005744429
oblique,reverse,1.5707963267948966,1.5707963267948966,1.5707963267948966,2.3361891530153507
collinear,forward,-3.141592653589793,-3.141592653589793,-3.141592653589793,3.1415926535897927
collinear,forward,-3.141592653589793,-3.141592653589793,0.0,2.4492935982947064e-16
collinear,forward,-3.141592653589793,0.0,-3.141592653589793,2.4492935982947064e-16
collinear,forward,-3.141592653589793,0.0,0.0,3.141592653589793
collinear,forward,0.0,-3.141592653589793,-3.141592653589793,2.4492935982947064e-16
collinear,forward,0.0,-3.141592653589793,0.0,3.141592653589793
collinear,forward,0.0,0.0,-3.141592653589793,3.141592653589793
collinear,forward,0.0,0.0,0.0,0.0
collinear,forward,-1.5707963267948966,-1.5707963267948966,-1.5707963267948966,1.5707963267948968
collinear,forward,-1.5707963267948966,-1.5707963267948966,1.5707963267948966,1.5707963267948966
collinear,forward,-1.5707963267948966,1.5707963267948966,-1.5707963267948966,1.5707963267948966
collinear,forward,-1.5707963267948966,1.5707963267948966,1.5707963267948966,1.5707963267948966
collinear,forward,1.5707963267948966,-1.5707963267948966,-1.5707963267948966,1.5707963267948966
collinear,forward,1.5707963267948966,-1.5707963267948966,1.5707963267948966,1.5707963267948966
collinear,forward,1.5707963267948966,1.5707963267948966,-1.5707963267948966,1.5707963267948966
collinear,forward,1.5707963267948966,1.5707963267948966,1.5707963267948966,1.5707963267948968
collinear,reverse,-3.141592653589793,-3.141592653589793,-3.141592653589793,3.1415926535897927
collinear,reverse,-3.141592653589793,-3.141592653589793,0.0,2.4492935982947064e-16
collinear,reverse,-3.141592653589793,0.0,-3.141592653589793,2.4492935982947064e-16
