triad,order,radius,direction,group_x,group_y,group_z,cone_x,cone_y,cone_z
orthogonal,forward,0.020000000000000004,0,-0.5817436447785873,-0.5817436447810159,-0.581743644780322,-0.5773502691896257,-0.5773502691896257,-0.5773502691896257
orthogonal,forward,0.019999999999999997,1,-0.7070714127376669,-0.7070714127376669,-0.010000166345003336,-0.7071067811865476,-0.7071067811865476,0.0
orthogonal,forward,0.020000000000000004,2,-0.5728542289924754,-0.5728542289928223,0.5728542289921285,-0.5773502691896257,-0.5773502691896257,0.5773502691896257
orthogonal,forward,0.019999999999999997,3,-0.7070714127380139,-0.010000166346391115,-0.7070714127380139,-0.7071067811865476,0.0,-0.7071067811865476
orthogonal,forward,0.02,4,-1.0000000000003062,0.0,0.0,-1.0,0.0,0.0
orthogonal,forward,0.019999999999999997,5,-0.7070714127380139,0.010000166346391115,0.7070714127380139,-0.7071067811865476,0.0,0.7071067811865476
orthogonal,forward,0.020000000000000004,6,-0.5728542289935162,0.5728542289942101,-0.5728542289935162,-0.5773502691896257,0.5773502691896257,-0.5773502691896257
orthogonal,forward,0.019999999999999997,7,-0.7070714127380139,0.7070714127380139,0.010000166345003336,-0.7071067811865476,0.7071067811865476,0.0
orthogonal,forward,0.020000000000000004,8,-0.581743644780322,0.5817436447810159,0.5817436447785873,-0.5773502691896257,0.5773502691896257,0.5773502691896257
orthogonal,forward,0.019999999999999997,9,-0.010000166345350281,-0.7070714127380139,-0.7070714127380139,0.0,-0.7071067811865476,-0.7071067811865476
orthogonal,forward,0.02,10,0.0,-1.0000000000003062,0.0,0.0,-1.0,0.0
orthogonal,forward,0.019999999999999997,11,0.010000166345003336,-0.7070714127380139,0.7070714127380139,0.0,-0.7071067811865476,0.7071067811865476
orthogonal,forward,0.02,12,0.0,0.0,-1.0000000000003062,0.0,0.0,-1.0
orthogonal,forward,0.02,13,0.0,0.0,0.9999999999999591,0.0,0.0,1.0
orthogonal,forward,0.019999999999999997,14,0.010000166345350281,0.7070714127380139,-0.7070714127380139,0.0,0.7071067811865476,-0.7071067811865476
orthogonal,forward,0.02,15,0.0,1.0000000000003062,0.0,0.0,1.0,0.0
orthogonal,forward,0.019999999999999997,16,-0.010000166345003336,0.7070714127380139,0.7070714127380139,0.0,0.7071067811865476,0.7071067811865476
orthogonal,forward,0.020000000000000004,17,0.5728542289935162,-0.5728542289942101,-0.5728542289935162,0.5773502691896257,-0.5773502691896257,-0.5773502691896257
orthogonal,forward,0.019999999999999997,18,0.7070714127380139,-0.7070714127380139,0.010000166345003336,0.7071067811865476,-0.7071067811865476,0.0
orthogonal,forward,0.020000000000000004,19,0.581743644780322,-0.5817436447810159,0.5817436447785873,0.5773502691896257,-0.5773502691896257,0.5773502691896257
orthogonal,forward,0.019999999999999997,20,0.7070714127380139,0.010000166346391115,-0.7070714127380139,0.7071067811865476,0.0,-0.7071067811865476
orthogonal,forward,0.02,21,1.0000000000003062,0.0,0.0,1.0,0.0,0.0
orthogonal,forward,0.019999999999999997,22,0.7070714127380139,-0.010000166346391115,0.7070714127380139,0.7071067811865476,0.0,0.7071067811865476
orthogonal,forward,0.020000000000000004,23,0.5817436447785873,0.5817436447810159,-0.581743644780322,0.5773502691896257,0.5773502691896257,-0.5773502691896257
orthogonal,forward,0.019999999999999997,24,0.7070714127376669,0.7070714127376669,-0.010000166345003336,0.7071067811865476,0.7071067811865476,0.0
orthogonal,forward,0.020000000000000004,25,0.5728542289924754,0.5728542289928223,0.5728542289921285,0.5773502691896257,0.5773502691896257,0.5773502691896257
orthogonal,forward,0.04000000000000001,0,-0.586035977381133,-0.5860359773839086,-0.5860359773832147,-0.5773502691896257,-0.5773502691896257,-0.5773502691896257
orthogonal,forward,0.039999999999999994,1,-0.706965324064751,-0.7069653240682204,-0.020001332882990663,-0.7071067811865476,-0.7071067811865476,0.0
orthogonal,forward,0.04000000000000001,2,-0.5682539867206404,-0.5682539867178649,0.5682539867213343,-0.5773502691896257,-0.5773502691896257,0.5773502691896257
orthogonal,forward,0.039999999999999994,3,-0.7069653240654449,-0.020001332891317336,-0.7069653240661388,-0.7071067811865476,0.0,-0.7071067811865476
orthogonal,forward,0.04,4,-0.9999999999919794,-1.3877787807814455e-12,-6.938893903907227e-13,-1.0,0.0,0.0
orthogonal,forward,0.039999999999999994,5,-0.7069653240654449,0.020001332890623447,0.7069653240661388,-0.7071067811865476,0.0,0.7071067811865476
orthogonal,forward,0.04000000000000001,6,-0.5682539867227221,0.5682539867185588,-0.5682539867213343,-0.5773502691896257,0.5773502691896257,-0.5773502691896257
