sample,direction,field,branch,omega,null_polynomial,z
0,0,0,0,-1.38451891948885,-2.0690470133265725e-16,1.108058398639225
0,0,0,1,0.933409956826497,-1.85367661487934e-16,1.108058398639225
0,0,1,0,-1.38451891948885,-2.0690470133265725e-16,1.108058398639225
0,0,1,1,0.933409956826497,-1.85367661487934e-16,1.108058398639225
0,0,2,0,-1.38451891948885,-2.0690470133265725e-16,1.108058398639225
0,0,2,1,0.933409956826497,-1.85367661487934e-16,1.108058398639225
0,0,3,0,-1.38451891948885,-2.0690470133265725e-16,1.108058398639225
0,0,3,1,0.933409956826497,-1.85367661487934e-16,1.108058398639225
0,0,4,0,-1.38451891948885,-2.0690470133265725e-16,1.108058398639225
0,0,4,1,0.933409956826497,-1.85367661487934e-16,1.108058398639225
0,0,5,0,-1.38451891948885,-2.0690470133265725e-16,1.108058398639225
0,0,5,1,0.933409956826497,-1.85367661487934e-16,1.108058398639225
0,1,0,0,-1.3264422769277497,-6.042965993153411e-16,1.108058398639225
0,1,0,1,1.042442028812709,-4.466139113203561e-16,1.108058398639225
0,1,1,0,-1.3264422769277497,-6.042965993153411e-16,1.108058398639225
0,1,1,1,1.042442028812709,-4.466139113203561e-16,1.108058398639225
0,1,2,0,-1.3264422769277497,-6.042965993153411e-16,1.108058398639225
0,1,2,1,1.042442028812709,-4.466139113203561e-16,1.108058398639225
0,1,3,0,-1.3264422769277497,-6.042965993153411e-16,1.108058398639225
0,1,3,1,1.042442028812709,-4.466139113203561e-16,1.108058398639225
0,1,4,0,-1.3264422769277497,-6.042965993153411e-16,1.108058398639225
0,1,4,1,1.042442028812709,-4.466139113203561e-16,1.108058398639225
0,1,5,0,-1.3264422769277497,-6.042965993153411e-16,1.108058398639225
0,1,5,1,1.042442028812709,-4.466139113203561e-16,1.108058398639225
0,2,0,0,-1.2832645008060997,-6.106226635438361e-16,1.108058398639225
0,2,0,1,1.0493481612676019,-8.326672684688674e-17,1.108058398639225
0,2,1,0,-1.2832645008060997,-6.106226635438361e-16,1.108058398639225
0,2,1,1,1.0493481612676019,-8.326672684688674e-17,1.108058398639225
0,2,2,0,-1.2832645008060997,-6.106226635438361e-16,1.108058398639225
0,2,2,1,1.0493481612676019,-8.326672684688674e-17,1.108058398639225
0,2,3,0,-1.2832645008060997,-6.106226635438361e-16,1.108058398639225
0,2,3,1,1.0493481612676019,-8.326672684688674e-17,1.108058398639225
0,2,4,0,-1.2832645008060997,-6.106226635438361e-16,1.108058398639225
0,2,4,1,1.0493481612676019,-8.326672684688674e-17,1.108058398639225
0,2,5,0,-1.2832645008060997,-6.106226635438361e-16,1.108058398639225
0,2,5,1,1.0493481612676019,-8.326672684688674e-17,1.108058398639225
0,3,0,0,-1.208405781956163,-3.5198486016975147e-17,1.108058398639225
0,3,0,1,0.7695490885020603,-1.1154988634356623e-17,1.108058398639225
0,3,1,0,-1.208405781956163,-3.5198486016975147e-17,1.108058398639225
0,3,1,1,0.7695490885020603,-1.1154988634356623e-17,1.108058398639225
0,3,2,0,-1.208405781956163,-3.5198486016975147e-17,1.108058398639225
0,3,2,1,0.7695490885020603,-1.1154988634356623e-17,1.108058398639225
0,3,3,0,-1.208405781956163,-3.5198486016975147e-17,1.108058398639225
0,3,3,1,0.7695490885020603,-1.1154988634356623e-17,1.108058398639225
0,3,4,0,-1.208405781956163,-3.5198486016975147e-17,1.108058398639225
0,3,4,1,0.7695490885020603,-1.1154988634356623e-17,1.108058398639225
0,3,5,0,-1.208405781956163,-3.5198486016975147e-17,1.108058398639225
0,3,5,1,0.7695490885020603,-1.1154988634356623e-17,1.108058398639225
0,4,0,0,-1.2161513006270965,-6.125873100036014e-16,1.108058398639225
0,4,0,1,1.2138519884098398,-3.6683334583484043e-16,1.108058398639225
0,4,1,0,-1.2161513006270965,-6.125873100036014e-16,1.108058398639225
0,4,1,1,1.2138519884098398,-3.6683334583484043e-16,1.108058398639225
0,4,2,0,-1.2161513006270965,-6.125873100036014e-16,1.108058398639225
0,4,2,1,1.2138519884098398,-3.6683334583484043e-16,1.108058398639225
0,4,3,0,-1.2161513006270965,-6.125873100036014e-16,1.108058398639225
0,4,3,1,1.2138519884098398,-3.6683334583484043e-16,1.108058398639225
0,4,4,0,-1.2161513006270965,-6.125873100036014e-16,1.108058398639225
0,4,4,1,1.2138519884098398,-3.6683334583484043e-16,1.108058398639225
0,4,5,0,-1.2161513006270965,-6.125873100036014e-16,1.108058398639225
0,4,5,1,1.2138519884098398,-3.6683334583484043e-16,1.108058398639225
0,5,0,0,-1.222555925180287,1.3047361363215835e-16,1.108058398639225
0,5,0,1,0.9186323568916893,-4.3231129468265416e-16,1.108058398639225
0,5,1,0,-1.222555925180287,1.3047361363215835e-16,1.108058398639225
0,5,1,1,0.9186323568916893,-4.3231129468265416e-16,1.108058398639225
0,5,2,0,-1.222555925180287,1.3047361363215835e-16,1.108058398639225
0,5,2,1,0.9186323568916893,-4.3231129468265416e-16,1.108058398639225
0,5,3,0,-1.222555925180287,1.3047361363215835e-16,1.108058398639225
0,5,3,1,0.9186323568916893,-4.3231129468265416e-16,1.108058398639225
0,5,4,0,-1.222555925180287,1.3047361363215835e-16,1.108058398639225
0,5,4,1,0.9186323568916893,-4.3231129468265416e-16,1.108058398639225
0,5,5,0,-1.222555925180287,1.3047361363215835e-16,1.108058398639225
0,5,5,1,0.9186323568916893,-4.3231129468265416e-16,1.108058398639225
0,6,0,0,-1.0608015106210271,-4.82338199339919e-16,1.108058398639225
0,6,0,1,0.8756667681015261,8.774262611052954e-17,1.108058398639225
0,6,1,0,-1.0608015106210271,-4.82338199339919e-16,1.108058398639225
0,6,1,1,0.8756667681015261,8.774262611052954e-17,1.108058398639225
0,6,2,0,-1.0608015106210271,-4.82338199339919e-16,1.108058398639225
0,6,2,1,0.8756667681015261,8.774262611052954e-17,1.108058398639225
0,6,3,0,-1.0608015106210271,-4.82338199339919e-16,1.108058398639225
0,6,3,1,0.8756667681015261,8.774262611052954e-17,1.108058398639225
0,6,4,0,-1.0608015106210271,-4.82338199339919e-16,1.108058398639225
0,6,4,1,0.8756667681015261,8.774262611052954e-17,1.108058398639225
0,6,5,0,-1.0608015106210271,-4.82338199339919e-16,1.108058398639225
0,6,5,1,0.8756667681015261,8.774262611052954e-17,1.108058398639225
0,7,0,0,-0.9927358312814624,-4.718447854656915e-16,1.108058398639225
0,7,0,1,1.1015115218801008,6.938893903907228e-17,1.108058398639225
0,7,1,0,-0.9927358312814624,-4.718447854656915e-16,1.108058398639225
0,7,1,1,1.1015115218801008,6.938893903907228e-17,1.108058398639225
0,7,2,0,-0.9927358312814624,-4.718447854656915e-16,1.108058398639225
0,7,2,1,1.1015115218801008,6.938893903907228e-17,1.108058398639225
0,7,3,0,-0.9927358312814624,-4.718447854656915e-16,1.108058398639225
0,7,3,1,1.1015115218801008,6.938893903907228e-17,1.108058398639225
0,7,4,0,-0.9927358312814624,-4.718447854656915e-16,1.108058398639225
0,7,4,1,1.1015115218801008,6.938893903907228e-17,1.108058398639225
0,7,5,0,-0.9927358312814624,-4.718447854656915e-16,1.108058398639225
0,7,5,1,1.1015115218801008,6.938893903907228e-17,1.108058398639225
0,8,0,0,-1.2148551518392157,-5.285080071234863e-16,1.108058398639225
0,8,0,1,0.8920593222185802,-2.6320306477438835e-16,1.108058398639225
0,8,1,0,-1.2148551518392157,-5.285080071234863e-16,1.108058398639225
0,8,1,1,0.8920593222185802,-2.6320306477438835e-16,1.108058398639225
0,8,2,0,-1.2148551518392157,-5.285080071234863e-16,1.108058398639225
0,8,2,1,0.8920593222185802,-2.6320306477438835e-16,1.108058398639225
0,8,3,0,-1.2148551518392157,-5.285080071234863e-16,1.108058398639225
0,8,3,1,0.8920593222185802,-2.6320306477438835e-16,1.108058398639225
0,8,4,0,-1.2148551518392157,-5.285080071234863e-16,1.108058398639225
0,8,4,1,0.8920593222185802,-2.6320306477438835e-16,1.108058398639225
0,8,5,0,-1.2148551518392157,-5.285080071234863e-16,1.108058398639225
0,8,5,1,0.8920593222185802,-2.6320306477438835e-16,1.108058398639225
0,9,0,0,-1.012781101499534,-2.581384193372332e-16,1.108058398639225
0,9,0,1,1.171274158923424,-7.90944742689266e-16,1.108058398639225
0,9,1,0,-1.012781101499534,-2.581384193372332e-16,1.108058398639225
0,9,1,1,1.171274158923424,-7.90944742689266e-16,1.108058398639225
0,9,2,0,-1.012781101499534,-2.581384193372332e-16,1.108058398639225
0,9,2,1,1.171274158923424,-7.90944742689266e-16,1.108058398639225
0,9,3,0,-1.012781101499534,-2.581384193372332e-16,1.108058398639225
0,9,3,1,1.171274158923424,-7.90944742689266e-16,1.108058398639225
0,9,4,0,-1.012781101499534,-2.581384193372332e-16,1.108058398639225
0,9,4,1,1.171274158923424,-7.90944742689266e-16,1.108058398639225
0,9,5,0,-1.012781101499534,-2.581384193372332e-16,1.108058398639225
0,9,5,1,1.171274158923424,-7.90944742689266e-16,1.108058398639225
0,10,0,0,-0.97205553757919,2.5177869754541133e-16,1.108058398639225
0,10,0,1,0.9950697042283062,-2.295573093138888e-17,1.108058398639225
0,10,1,0,-0.97205553757919,2.5177869754541133e-16,1.108058398639225
0,10,1,1,0.9950697042283062,-2.295573093138888e-17,1.108058398639225
0,10,2,0,-0.97205553757919,2.5177869754541133e-16,1.108058398639225
0,10,2,1,0.9950697042283062,-2.295573093138888e-17,1.108058398639225
0,10,3,0,-0.97205553757919,2.5177869754541133e-16,1.108058398639225
0,10,3,1,0.9950697042283062,-2.295573093138888e-17,1.108058398639225
0,10,4,0,-0.97205553757919,2.5177869754541133e-16,1.108058398639225
0,10,4,1,0.9950697042283062,-2.295573093138888e-17,1.108058398639225
0,10,5,0,-0.97205553757919,2.5177869754541133e-16,1.108058398639225
0,10,5,1,0.9950697042283062,-2.295573093138888e-17,1.108058398639225
0,11,0,0,-1.0585532491991634,3.8432051988084967e-16,1.108058398639225
0,11,0,1,0.9366921849267932,2.3511607332091294e-16,1.108058398639225
0,11,1,0,-1.0585532491991634,3.8432051988084967e-16,1.108058398639225
0,11,1,1,0.9366921849267932,2.3511607332091294e-16,1.108058398639225
0,11,2,0,-1.0585532491991634,3.8432051988084967e-16,1.108058398639225
0,11,2,1,0.9366921849267932,2.3511607332091294e-16,1.108058398639225
0,11,3,0,-1.0585532491991634,3.8432051988084967e-16,1.108058398639225
0,11,3,1,0.9366921849267932,2.3511607332091294e-16,1.108058398639225
0,11,4,0,-1.0585532491991634,3.8432051988084967e-16,1.108058398639225
0,11,4,1,0.9366921849267932,2.3511607332091294e-16,1.108058398639225
0,11,5,0,-1.0585532491991634,3.8432051988084967e-16,1.108058398639225
0,11,5,1,0.9366921849267932,2.3511607332091294e-16,1.108058398639225
0,12,0,0,-0.8377893400599913,-4.0245584642661925e-16,1.108058398639225
0,12,0,1,1.1952451862214257,-2.220446049250313e-16,1.108058398639225
0,12,1,0,-0.8377893400599913,-4.0245584642661925e-16,1.108058398639225
0,12,1,1,1.1952451862214257,-2.220446049250313e-16,1.108058398639225
0,12,2,0,-0.8377893400599913,-4.0245584642661925e-16,1.108058398639225
0,12,2,1,1.1952451862214257,-2.220446049250313e-16,1.108058398639225
0,12,3,0,-0.8377893400599913,-4.0245584642661925e-16,1.108058398639225
0,12,3,1,1.1952451862214257,-2.220446049250313e-16,1.108058398639225
0,12,4,0,-0.8377893400599913,-4.0245584642661925e-16,1.108058398639225
0,12,4,1,1.1952451862214257,-2.220446049250313e-16,1.108058398639225
0,12,5,0,-0.8377893400599913,-4.0245584642661925e-16,1.108058398639225
0,12,5,1,1.1952451862214257,-2.220446049250313e-16,1.108058398639225
0,13,0,0,-1.1861391355968691,3.2568114856510036e-16,1.108058398639225
0,13,0,1,1.127369403901125,3.2978825401226696e-17,1.108058398639225
0,13,1,0,-1.1861391355968691,3.2568114856510036e-16,1.108058398639225
0,13,1,1,1.127369403901125,3.2978825401226696e-17,1.108058398639225
0,13,2,0,-1.1861391355968691,3.2568114856510036e-16,1.108058398639225
0,13,2,1,1.127369403901125,3.2978825401226696e-17,1.108058398639225
0,13,3,0,-1.1861391355968691,3.2568114856510036e-16,1.108058398639225
0,13,3,1,1.127369403901125,3.2978825401226696e-17,1.108058398639225
0,13,4,0,-1.1861391355968691,3.2568114856510036e-16,1.108058398639225
0,13,4,1,1.127369403901125,3.2978825401226696e-17,1.108058398639225
0,13,5,0,-1.1861391355968691,3.2568114856510036e-16,1.108058398639225
0,13,5,1,1.127369403901125,3.2978825401226696e-17,1.108058398639225
0,14,0,0,-0.952577987646727,-1.5992487952877377e-16,1.108058398639225
0,14,0,1,1.1693957836436721,-1.8292619748775906e-16,1.108058398639225
0,14,1,0,-0.952577987646727,-1.5992487952877377e-16,1.108058398639225
0,14,1,1,1.1693957836436721,-1.8292619748775906e-16,1.108058398639225
0,14,2,0,-0.952577987646727,-1.5992487952877377e-16,1.108058398639225
0,14,2,1,1.1693957836436721,-1.8292619748775906e-16,1.108058398639225
0,14,3,0,-0.952577987646727,-1.5992487952877377e-16,1.108058398639225
0,14,3,1,1.1693957836436721,-1.8292619748775906e-16,1.108058398639225
0,14,4,0,-0.952577987646727,-1.5992487952877377e-16,1.108058398639225
0,14,4,1,1.1693957836436721,-1.8292619748775906e-16,1.108058398639225
0,14,5,0,-0.952577987646727,-1.5992487952877377e-16,1.108058398639225
0,14,5,1,1.1693957836436721,-1.8292619748775906e-16,1.108058398639225
0,15,0,0,-0.7905194912247003,-2.179991112004746e-16,1.108058398639225
0,15,0,1,1.1304079663492406,-3.2117111880884833e-16,1.108058398639225
0,15,1,0,-0.7905194912247003,-2.179991112004746e-16,1.108058398639225
0,15,1,1,1.1304079663492406,-3.2117111880884833e-16,1.108058398639225
0,15,2,0,-0.7905194912247003,-2.179991112004746e-16,1.108058398639225
0,15,2,1,1.1304079663492406,-3.2117111880884833e-16,1.108058398639225
0,15,3,0,-0.7905194912247003,-2.179991112004746e-16,1.108058398639225
0,15,3,1,1.1304079663492406,-3.2117111880884833e-16,1.108058398639225
0,15,4,0,-0.7905194912247003,-2.179991112004746e-16,1.108058398639225
0,15,4,1,1.1304079663492406,-3.2117111880884833e-16,1.108058398639225
0,15,5,0,-0.7905194912247003,-2.179991112004746e-16,1.108058398639225
0,15,5,1,1.1304079663492406,-3.2117111880884833e-16,1.108058398639225
0,16,0,0,-1.185827102575909,-3.704657291414664e-16,1.108058398639225
0,16,0,1,1.2457982112594086,-7.06049712929609e-16,1.108058398639225
0,16,1,0,-1.185827102575909,-3.704657291414664e-16,1.108058398639225
0,16,1,1,1.2457982112594086,-7.06049712929609e-16,1.108058398639225
0,16,2,0,-1.185827102575909,-3.704657291414664e-16,1.108058398639225
0,16,2,1,1.2457982112594086,-7.06049712929609e-16,1.108058398639225
0,16,3,0,-1.185827102575909,-3.704657291414664e-16,1.108058398639225
0,16,3,1,1.2457982112594086,-7.06049712929609e-16,1.108058398639225
0,16,4,0,-1.185827102575909,-3.704657291414664e-16,1.108058398639225
0,16,4,1,1.2457982112594086,-7.06049712929609e-16,1.108058398639225
0,16,5,0,-1.185827102575909,-3.704657291414664e-16,1.108058398639225
0,16,5,1,1.2457982112594086,-7.06049712929609e-16,1.108058398639225
0,17,0,0,-0.8627358943956918,-6.106226635438361e-16,1.108058398639225
0,17,0,1,1.3156221384867681,-6.661338147750939e-16,1.108058398639225
0,17,1,0,-0.8627358943956918,-6.106226635438361e-16,1.108058398639225
0,17,1,1,1.3156221384867681,-6.661338147750939e-16,1.108058398639225
0,17,2,0,-0.8627358943956918,-6.106226635438361e-16,1.108058398639225
0,17,2,1,1.3156221384867681,-6.661338147750939e-16,1.108058398639225
0,17,3,0,-0.8627358943956918,-6.106226635438361e-16,1.108058398639225
0,17,3,1,1.3156221384867681,-6.661338147750939e-16,1.108058398639225
0,17,4,0,-0.8627358943956918,-6.106226635438361e-16,1.108058398639225
0,17,4,1,1.3156221384867681,-6.661338147750939e-16,1.108058398639225
0,17,5,0,-0.8627358943956918,-6.106226635438361e-16,1.108058398639225
0,17,5,1,1.3156221384867681,-6.661338147750939e-16,1.108058398639225
0,18,0,0,-1.0345331138535856,-1.5612530885582746e-16,1.108058398639225
0,18,0,1,1.3239923364527437,8.466586255776671e-18,1.108058398639225
0,18,1,0,-1.0345331138535856,-1.5612530885582746e-16,1.108058398639225
0,18,1,1,1.3239923364527437,8.466586255776671e-18,1.108058398639225
0,18,2,0,-1.0345331138535856,-1.5612530885582746e-16,1.108058398639225
0,18,2,1,1.3239923364527437,8.466586255776671e-18,1.108058398639225
0,18,3,0,-1.0345331138535856,-1.5612530885582746e-16,1.108058398639225
0,18,3,1,1.3239923364527437,8.466586255776671e-18,1.108058398639225
0,18,4,0,-1.0345331138535856,-1.5612530885582746e-16,1.108058398639225
0,18,4,1,1.3239923364527437,8.466586255776671e-18,1.108058398639225
0,18,5,0,-1.0345331138535856,-1.5612530885582746e-16,1.108058398639225
0,18,5,1,1.3239923364527437,8.466586255776671e-18,1.108058398639225
0,19,0,0,-1.0556152609562353,-1.3200246624118097e-15,1.108058398639225
0,19,0,1,1.3985815051561283,-4.579161333751612e-16,1.108058398639225
0,19,1,0,-1.0556152609562353,-1.3200246624118097e-15,1.108058398639225
0,19,1,1,1.3985815051561283,-4.579161333751612e-16,1.108058398639225
0,19,2,0,-1.0556152609562353,-1.3200246624118097e-15,1.108058398639225
0,19,2,1,1.3985815051561283,-4.579161333751612e-16,1.108058398639225
0,19,3,0,-1.0556152609562353,-1.3200246624118097e-15,1.108058398639225
0,19,3,1,1.3985815051561283,-4.579161333751612e-16,1.108058398639225
0,19,4,0,-1.0556152609562353,-1.3200246624118097e-15,1.108058398639225
0,19,4,1,1.3985815051561283,-4.579161333751612e-16,1.108058398639225
0,19,5,0,-1.0556152609562353,-1.3200246624118097e-15,1.108058398639225
0,19,5,1,1.3985815051561283,-4.579161333751612e-16,1.108058398639225
