case,time,source_a,inverse_a
finest-broad,4.2,0.0,0.0
finest-broad,4.225,0.0,0.0
finest-broad,4.25,0.0,0.0
finest-broad,4.275,0.0,0.0
finest-broad,4.3,0.0,0.0
finest-broad,4.325,0.0,0.0
finest-broad,4.3500000000000005,0.0,0.0
finest-broad,4.375,0.0,0.0
finest-broad,4.4,0.0,0.0
finest-broad,4.425,0.0,0.0
finest-broad,4.45,0.0,0.0
finest-broad,4.4750000000000005,0.0,0.0
finest-broad,4.5,0.0,0.0
finest-broad,4.525,0.0,0.0
finest-broad,4.55,0.0,0.0
finest-broad,4.575,0.0,0.0
finest-broad,4.6000000000000005,0.0,0.0
finest-broad,4.625,0.0,0.0
finest-broad,4.65,0.0,0.0
finest-broad,4.675,0.0,0.0
finest-broad,4.7,0.0,0.0
finest-broad,4.7250000000000005,0.0,0.0
finest-broad,4.75,0.0,0.0
finest-broad,4.775,0.0,0.0
finest-broad,4.8,0.0,0.0
finest-broad,4.825,0.0,0.0
finest-broad,4.8500000000000005,0.0,0.0
finest-broad,4.875,0.0,0.0
finest-broad,4.9,0.0,0.0
finest-broad,4.925,0.0,0.0
finest-broad,4.95,0.0,0.0
finest-broad,4.9750000000000005,0.0,0.0
finest-broad,5.0,0.0,0.0
finest-broad,5.025,0.0,0.0
finest-broad,5.05,0.0,0.0
finest-broad,5.075,0.0,0.0
finest-broad,5.1000000000000005,0.0,0.0
finest-broad,5.125,0.0,0.0
finest-broad,5.15,0.0,0.0
finest-broad,5.175,0.0,0.0
finest-broad,5.2,0.0,0.0
finest-broad,5.2250000000000005,0.0,0.0
finest-broad,5.25,0.0,0.0
finest-broad,5.275,0.0,0.0
finest-broad,5.3,0.0,0.0
finest-broad,5.325,0.0,0.0
finest-broad,5.3500000000000005,0.0,0.0
finest-broad,5.375,0.0,0.0
finest-broad,5.4,0.0,0.0
finest-broad,5.425,0.0,0.0
finest-broad,5.45,0.0,0.0
finest-broad,5.4750000000000005,0.0,0.0
finest-broad,5.5,0.0,0.0
finest-broad,5.525,0.0,0.0
finest-broad,5.55,0.0,0.0
finest-broad,5.575,0.0,0.0
finest-broad,5.6000000000000005,0.0,0.0
finest-broad,5.625,0.0,0.0
finest-broad,5.65,0.0,0.0
finest-broad,5.675,0.0,0.0
finest-broad,5.7,0.0,0.0
finest-broad,5.7250000000000005,0.0,0.0
finest-broad,5.75,0.0,0.0
finest-broad,5.775,0.0,0.0
finest-broad,5.8,0.0,0.0
finest-broad,5.825,0.0,0.0
finest-broad,5.8500000000000005,0.0,0.0
finest-broad,5.875,0.0,0.0
finest-broad,5.9,0.0,0.0
finest-broad,5.925,0.0,0.0
finest-broad,5.95,0.0,0.0
finest-broad,5.9750000000000005,0.0,0.0
finest-broad,6.0,0.0,0.0
finest-broad,6.025,0.0,0.0
finest-broad,6.05,0.0,0.0
finest-broad,6.075,0.0,0.0
finest-broad,6.1000000000000005,0.0,0.0
finest-broad,6.125,0.0,0.0
finest-broad,6.15,0.0,0.0
finest-broad,6.175,0.0,0.0
finest-broad,6.2,0.0,0.0
finest-broad,6.2250000000000005,0.0,0.0
finest-broad,6.25,0.0,0.0
finest-broad,6.275,0.0,0.0
finest-broad,6.3,0.0,0.0
finest-broad,6.325,0.0,0.0
finest-broad,6.3500000000000005,0.0,0.0
finest-broad,6.375,0.0,0.0
finest-broad,6.4,0.0,0.0
finest-broad,6.425,0.0,0.0
finest-broad,6.45,0.0,0.0
finest-broad,6.4750000000000005,0.0,0.0
finest-broad,6.5,0.0,0.0
finest-broad,6.525,0.0,0.0
finest-broad,6.55,0.0,0.0
finest-broad,6.575,0.0,0.0
finest-broad,6.6000000000000005,0.0,0.0
finest-broad,6.625,0.0,0.0
finest-broad,6.65,0.0,0.0
finest-broad,6.675,0.0,0.0
finest-broad,6.7,0.0,0.0
finest-broad,6.7250000000000005,0.0,0.0
finest-broad,6.75,0.0,0.0
finest-broad,6.775,0.0,0.0
finest-broad,6.8,0.0,0.0
finest-broad,6.825,0.0,0.0
finest-broad,6.8500000000000005,0.0,0.0
finest-broad,6.875,0.0,0.0
finest-broad,6.9,0.0,0.0
finest-broad,6.925,0.0,0.0
finest-broad,6.95,0.0,0.0
finest-broad,6.9750000000000005,0.0,0.0
finest-broad,7.0,0.0,0.0
finest-broad,7.025,0.0,0.0
finest-broad,7.05,0.0,0.0
finest-broad,7.075,0.0,0.0
finest-broad,7.1000000000000005,0.0,0.0
finest-broad,7.125,0.0,0.0
finest-broad,7.15,0.0,0.0
finest-broad,7.175,0.0,0.0
finest-broad,7.2,0.0,0.0
finest-broad,7.2250000000000005,0.0,0.0
finest-broad,7.25,0.0,0.0
finest-broad,7.275,0.0,0.0
finest-broad,7.3,0.0,0.0
finest-broad,7.325,0.0,0.0
finest-broad,7.3500000000000005,0.0,0.0
finest-broad,7.375,0.0,0.0
finest-broad,7.4,0.0,0.0
finest-broad,7.425,0.0,0.0
finest-broad,7.45,0.0,0.0
finest-broad,7.4750000000000005,0.0,0.0
finest-broad,7.5,0.0,0.0
finest-broad,7.525,0.0,0.0
finest-broad,7.55,0.0,0.0
finest-broad,7.575,0.0,0.0
finest-broad,7.6000000000000005,0.0,0.0
finest-broad,7.625,0.0,0.0
finest-broad,7.65,0.0,0.0
finest-broad,7.675,0.0,0.0
finest-broad,7.7,0.0,0.0
finest-broad,7.7250000000000005,0.0,0.0
finest-broad,7.75,0.0,0.0
finest-broad,7.775,0.0,0.0
