radius,core,well,mode
0.0,0.7426140469967158,0.25,0.11238693784406252
0.1,0.7426140469967158,0.09023482338909641,0.11238693784406252
0.2,0.7426119113947539,0.09023539245219074,0.1123419113288597
0.30000000000000004,0.742608331513518,0.09023634637046193,0.1122668916155165
0.4,0.7426032763149143,0.09023769342275217,0.11216191541107458
0.5,0.7425967019008286,0.09023944531845687,0.11202703408353193
0.6000000000000001,0.742588551062495,0.09024161731812311,0.11186231364007737
0.7000000000000001,0.7425787526926876,0.09024422839078401,0.11166783469924259
0.8,0.7425672210542897,0.09024730140977481,0.11144369245707474
0.9,0.7425538548972267,0.09025086338920182,0.1111899966474566
1.0,0.742538536414085,0.09025494576368917,0.11090687149672708
1.1,0.7425211300229846,0.09025958471450737,0.1105944556727782
1.2000000000000002,0.7425014809643843,0.09026482154570503,0.11025290222883434
1.3,0.7424794136964808,0.09027070311441898,0.1098823785421437
1.4000000000000001,0.7424547300716774,0.09027728232014241,0.10948306624784404
1.5,0.7424272072742375,0.09028461865838275,0.10905516116829293
1.6,0.742396595496669,0.09029277884485765,0.10859887323818458
1.7000000000000002,0.7423626153295937,0.09030183751715706,0.10811442642581051
1.8,0.742324954836817,0.09031187802165522,0.10760205865085443
1.9000000000000001,0.742283266283991,0.09032299329439727,0.10706202169915044
2.0,0.7422371624856487,0.09033528684571476,0.1064945811348728
2.1,0.7421862127314397,0.09034887385946107,0.10590001621066622
2.2,0.7421299382480998,0.09036388241900159,0.1052786197762717
2.3000000000000003,0.7420678071490069,0.09038045487346713,0.10463069818624787
2.4000000000000004,0.7419992288180917,0.09039874935928208,0.10395657120743784
2.5,0.7419235476693637,0.09041894149363311,0.10325657192688478
2.6,0.741840036217357,0.0904412262583565,0.10253104666095328
2.7,0.7417478873873852,0.09046582009470591,0.10178035486647301
2.8000000000000003,0.7416462059876182,0.09049296323163239,0.101004869054782
2.9000000000000004,0.7415339992576533,0.09052292227257223,0.10020497470961195
3.0,0.741410166400474,0.09055599306830975,0.09938107020982562
3.1,0.7412734869965044,0.0905925039062701,0.09853356675808632
3.2,0.7411226081899438,0.0906328190496028,0.09766288831661517
3.3000000000000003,0.7409560305287776,0.09067734266265182,0.09676947155126515
3.4000000000000004,0.7407720923309749,0.0907265231628553,0.09585376578522241
3.5,0.7405689524405359,0.09078085804277847,0.09491623296372347
3.6,0.7403445712285247,0.0908408992098272,0.09395734763125932
3.7,0.7400966896863141,0.09090725889518272,0.09297759692281898
3.8000000000000003,0.7398228064514062,0.09098061618758485,0.09197748057080485
3.9000000000000004,0.7395201526008935,0.09106172425169588,0.09095751092933149
4.0,0.7391856640445901,0.09115141829478261,0.0899182130176925
4.1000000000000005,0.7388159513498992,0.09125062434921721,0.08886012458484756
4.2,0.738407266834678,0.09136036894160979,0.0877837961968411
4.3,0.7379554687739672,0.09148178972198195,0.08668979134910718
4.4,0.7374559825830656,0.09161614712791796,0.0855786866056456
4.5,0.7369037588649302,0.09176483715863333,0.08445107176705882
4.6000000000000005,0.736293228246529,0.09192940533179297,0.08330755006941767
4.7,0.735618252979252,0.0921115618909429,0.08214873841586572
4.800000000000001,0.7348720753459022,0.09231319832264606,0.0809752676427671
