case,time,source_a,inverse_a,causal_a,retained_error_a,discarded_error_a
finest-broad,1.075,0.0,0.0,0.0,0.0,0.0
finest-broad,1.0875000000000001,0.0,0.0,0.0,0.0,0.0
finest-broad,1.1,0.0,0.0,0.0,0.0,0.0
finest-broad,1.1125,0.0,0.0,0.0,0.0,0.0
finest-broad,1.125,0.0,0.0,0.0,0.0,0.0
finest-broad,1.1375,0.0,0.0,0.0,0.0,0.0
finest-broad,1.1500000000000001,0.0,0.0,0.0,0.0,0.0
finest-broad,1.1625,0.0,0.0,0.0,0.0,0.0
finest-broad,1.175,0.0,0.0,0.0,0.0,0.0
finest-broad,1.1875,0.0,0.0,0.0,0.0,0.0
finest-broad,1.2000000000000002,0.0,0.0,0.0,0.0,0.0
finest-broad,1.2125000000000001,0.0,0.0,0.0,0.0,0.0
finest-broad,1.225,0.0,0.0,0.0,0.0,0.0
finest-broad,1.2375,0.0,0.0,0.0,0.0,0.0
finest-broad,1.25,0.0,0.0,0.0,0.0,0.0
finest-broad,1.2625000000000002,0.0,0.0,0.0,0.0,0.0
finest-broad,1.2750000000000001,0.0,0.0,0.0,0.0,0.0
finest-broad,1.2875,0.0,0.0,0.0,0.0,0.0
finest-broad,1.3,0.0,0.0,0.0,0.0,0.0
finest-broad,1.3125,0.0,0.0,0.0,0.0,0.0
finest-broad,1.3250000000000002,0.0,0.0,0.0,0.0,0.0
finest-broad,1.3375000000000001,0.0,0.0,0.0,0.0,0.0
finest-broad,1.35,0.0,0.0,0.0,0.0,0.0
finest-broad,1.3625,0.0,0.0,0.0,0.0,0.0
finest-broad,1.375,0.0,0.0,0.0,0.0,0.0
finest-broad,1.3875000000000002,0.0,0.0,0.0,0.0,0.0
finest-broad,1.4000000000000001,0.0,0.0,0.0,0.0,0.0
finest-broad,1.4125,0.0,0.0,0.0,0.0,0.0
finest-broad,1.425,0.0,0.0,0.0,0.0,0.0
finest-broad,1.4375,0.0,0.0,0.0,0.0,0.0
finest-broad,1.4500000000000002,0.0,0.0,0.0,0.0,0.0
finest-broad,1.4625000000000001,0.0,0.0,0.0,0.0,0.0
finest-broad,1.475,0.0,0.0,0.0,0.0,0.0
finest-broad,1.4875,0.0,0.0,0.0,0.0,0.0
finest-broad,1.5,0.0,0.0,0.0,0.0,0.0
finest-broad,1.5125000000000002,0.0,0.0,0.0,0.0,0.0
finest-broad,1.5250000000000001,0.0,0.0,0.0,0.0,0.0
finest-broad,1.5375,0.0,0.0,0.0,0.0,0.0
finest-broad,1.55,0.0,0.0,0.0,0.0,0.0
finest-broad,1.5625,0.0,0.0,0.0,0.0,0.0
finest-broad,1.5750000000000002,0.0,0.0,0.0,0.0,0.0
finest-broad,1.5875000000000001,0.0,0.0,0.0,0.0,0.0
finest-broad,1.6,0.0,0.0,0.0,0.0,0.0
finest-broad,1.6125,0.0,0.0,0.0,0.0,0.0
finest-broad,1.625,0.0,0.0,0.0,0.0,0.0
finest-broad,1.6375000000000002,0.0,0.0,0.0,0.0,0.0
finest-broad,1.6500000000000001,0.0,0.0,0.0,0.0,0.0
finest-broad,1.6625,0.0,0.0,0.0,0.0,0.0
finest-broad,1.675,0.0,0.0,0.0,0.0,0.0
finest-broad,1.6875,0.0,0.0,0.0,0.0,0.0
finest-broad,1.7000000000000002,0.0,0.0,0.0,0.0,0.0
finest-broad,1.7125000000000001,0.0,0.0,0.0,0.0,0.0
finest-broad,1.725,0.0,0.0,0.0,0.0,0.0
finest-broad,1.7375,0.0,0.0,0.0,0.0,0.0
finest-broad,1.75,0.0,0.0,0.0,0.0,0.0
finest-broad,1.7625000000000002,0.0,0.0,0.0,0.0,0.0
finest-broad,1.7750000000000001,0.0,0.0,0.0,0.0,0.0
finest-broad,1.7875,0.0,0.0,0.0,0.0,0.0
finest-broad,1.8,0.0,0.0,0.0,0.0,0.0
finest-broad,1.8125,0.0,0.0,0.0,0.0,0.0
finest-broad,1.8250000000000002,0.0,0.0,0.0,0.0,0.0
finest-broad,1.8375000000000001,0.0,0.0,0.0,0.0,0.0
finest-broad,1.85,0.0,0.0,0.0,0.0,0.0
finest-broad,1.8625,0.0,0.0,0.0,0.0,0.0
finest-broad,1.875,0.0,0.0,0.0,0.0,0.0
finest-broad,1.8875000000000002,0.0,0.0,0.0,0.0,0.0
finest-broad,1.9000000000000001,0.0,0.0,0.0,0.0,0.0
finest-broad,1.9125,0.0,0.0,0.0,0.0,0.0
finest-broad,1.925,0.0,0.0,0.0,0.0,0.0
finest-broad,1.9375,0.0,0.0,0.0,0.0,0.0
finest-broad,1.9500000000000002,0.0,0.0,0.0,0.0,0.0
finest-broad,1.9625000000000001,0.0,0.0,0.0,0.0,0.0
finest-broad,1.975,0.0,0.0,0.0,0.0,0.0
finest-broad,1.9875,0.0,0.0,0.0,0.0,0.0
finest-broad,2.0,0.0,0.0,0.0,0.0,0.0
finest-broad,2.0125,0.0,0.0,0.0,0.0,0.0
finest-broad,2.025,0.0,0.0,0.0,0.0,0.0
finest-broad,2.0375,0.0,0.0,0.0,0.0,0.0
finest-broad,2.0500000000000003,0.0,0.0,0.0,0.0,0.0
finest-broad,2.0625,0.0,0.0,0.0,0.0,0.0
finest-broad,2.075,0.0,0.0,0.0,0.0,0.0
finest-broad,2.0875,0.0,0.0,0.0,0.0,0.0
finest-broad,2.1,0.0,0.0,0.0,0.0,0.0
finest-broad,2.1125000000000003,0.0,0.0,0.0,0.0,0.0
finest-broad,2.125,0.0,0.0,0.0,0.0,0.0
finest-broad,2.1375,0.0,0.0,0.0,0.0,0.0
finest-broad,2.15,0.0,0.0,0.0,0.0,0.0
finest-broad,2.1625,0.0,0.0,0.0,0.0,0.0
finest-broad,2.1750000000000003,0.0,0.0,0.0,0.0,0.0
finest-broad,2.1875,0.0,0.0,0.0,0.0,0.0
finest-broad,2.2,0.0,0.0,0.0,0.0,0.0
finest-broad,2.2125,0.0,0.0,0.0,0.0,0.0
finest-broad,2.225,0.0,0.0,0.0,0.0,0.0
finest-broad,2.2375000000000003,0.0,0.0,0.0,0.0,0.0
finest-broad,2.25,0.0,0.0,0.0,0.0,0.0
finest-broad,2.2625,0.0,0.0,0.0,0.0,0.0
finest-broad,2.275,0.0,0.0,0.0,0.0,0.0
finest-broad,2.2875,0.0,0.0,0.0,0.0,0.0
finest-broad,2.3000000000000003,0.0,0.0,0.0,0.0,0.0
finest-broad,2.3125,0.0,0.0,0.0,0.0,0.0
finest-broad,2.325,0.0,0.0,0.0,0.0,0.0
finest-broad,2.3375,0.0,0.0,0.0,0.0,0.0
finest-broad,2.35,0.0,0.0,0.0,0.0,0.0
finest-broad,2.3625000000000003,0.0,0.0,0.0,0.0,0.0
finest-broad,2.375,0.0,0.0,0.0,0.0,0.0
finest-broad,2.3875,0.0,0.0,0.0,0.0,0.0
finest-broad,2.4000000000000004,0.0,0.0,0.0,0.0,0.0
finest-broad,2.4125,0.0,0.0,0.0,0.0,0.0
finest-broad,2.4250000000000003,0.0,0.0,0.0,0.0,0.0
finest-broad,2.4375,0.0,0.0,0.0,0.0,0.0
finest-broad,2.45,0.0,0.0,0.0,0.0,0.0
finest-broad,2.4625000000000004,0.0,0.0,0.0,0.0,0.0
finest-broad,2.475,0.0,0.0,0.0,0.0,0.0
finest-broad,2.4875000000000003,0.0,0.0,0.0,0.0,0.0
finest-broad,2.5,0.0,0.0,0.0,0.0,0.0
finest-broad,2.5125,0.0,0.0,0.0,0.0,0.0
finest-broad,2.5250000000000004,0.0,0.0,0.0,0.0,0.0
finest-broad,2.5375,0.0,0.0,0.0,0.0,0.0
finest-broad,2.5500000000000003,0.0,0.0,0.0,0.0,0.0
finest-broad,2.5625,0.0,0.0,0.0,0.0,0.0
finest-broad,2.575,0.0,0.0,0.0,0.0,0.0
finest-broad,2.5875000000000004,0.0,0.0,0.0,0.0,0.0
finest-broad,2.6,0.0,0.0,0.0,0.0,0.0
finest-broad,2.6125000000000003,0.0,0.0,0.0,0.0,0.0
finest-broad,2.625,0.0,0.0,0.0,0.0,0.0
finest-broad,2.6375,0.0,0.0,0.0,0.0,0.0
finest-broad,2.6500000000000004,0.0,0.0,0.0,0.0,0.0
finest-broad,2.6625,0.0,0.0,0.0,0.0,0.0
finest-broad,2.6750000000000003,0.0,0.0,0.0,0.0,0.0
finest-broad,2.6875,0.0,0.0,0.0,0.0,0.0
finest-broad,2.7,0.0,0.0,0.0,0.0,0.0
finest-broad,2.7125000000000004,0.0,0.0,0.0,0.0,0.0
finest-broad,2.725,0.0,0.0,0.0,0.0,0.0
finest-broad,2.7375000000000003,0.0,0.0,0.0,0.0,0.0
finest-broad,2.75,0.0,0.0,0.0,0.0,0.0
finest-broad,2.7625,0.0,0.0,0.0,0.0,0.0
finest-broad,2.7750000000000004,0.0,0.0,0.0,0.0,0.0
finest-broad,2.7875,0.0,0.0,0.0,0.0,0.0
finest-broad,2.8000000000000003,0.0,0.0,0.0,0.0,0.0
finest-broad,2.8125,0.0,0.0,0.0,0.0,0.0
finest-broad,2.825,0.0,0.0,0.0,0.0,0.0
finest-broad,2.8375000000000004,0.0,0.0,0.0,0.0,0.0
finest-broad,2.85,0.0,0.0,0.0,0.0,0.0
finest-broad,2.8625000000000003,0.0,0.0,0.0,0.0,0.0
finest-broad,2.875,0.0,0.0,0.0,0.0,0.0
finest-broad,2.8875,0.0,0.0,0.0,0.0,0.0
finest-broad,2.9000000000000004,0.0,0.0,0.0,0.0,0.0
finest-broad,2.9125,0.0,0.0,0.0,0.0,0.0
finest-broad,2.9250000000000003,0.0,0.0,0.0,0.0,0.0
finest-broad,2.9375,0.0,0.0,0.0,0.0,0.0
finest-broad,2.95,0.0,0.0,0.0,0.0,0.0
finest-broad,2.9625000000000004,0.0,0.0,0.0,0.0,0.0
finest-broad,2.975,0.0,0.0,0.0,0.0,0.0
finest-broad,2.9875000000000003,0.0,0.0,0.0,0.0,0.0
finest-broad,3.0,0.0,0.0,0.0,0.0,0.0
finest-broad,3.0125,0.0,0.0,0.0,0.0,0.0
finest-broad,3.0250000000000004,0.0,0.0,0.0,0.0,0.0
finest-broad,3.0375,0.0,0.0,0.0,0.0,0.0
finest-broad,3.0500000000000003,0.0,0.0,0.0,0.0,0.0
finest-broad,3.0625,0.0,0.0,0.0,0.0,0.0
