lambda,step,event,input_wire,ancestor,response
0,5e-06,0,2,0,0.0
0,5e-06,0,3,0,0.0
0,5e-06,0,4,0,0.0
0,5e-06,0,5,0,0.0
0,5e-06,0,6,0,0.0
0,5e-06,0,7,0,0.0
0,5e-06,0,8,1,2.8337694833453035
0,5e-06,0,9,0,0.0
0,5e-06,0,10,0,0.0
0,5e-06,0,11,0,0.0
0,5e-06,1,0,0,0.0
0,5e-06,1,1,0,0.0
0,5e-06,1,2,1,1.3519305420832515
0,5e-06,1,3,1,1.351930542111051
0,5e-06,1,4,0,0.0
0,5e-06,1,5,0,0.0
0,5e-06,1,6,0,0.0
0,5e-06,1,7,0,0.0
0,5e-06,1,8,0,0.0
0,5e-06,1,9,1,1.3654612991056199
0,5e-06,1,10,0,0.0
0,5e-06,1,11,0,0.0
0,5e-06,2,0,0,0.0
0,5e-06,2,1,0,0.0
0,5e-06,2,2,0,0.0
0,5e-06,2,3,0,0.0
0,5e-06,2,4,1,2.857405802935151
0,5e-06,2,5,1,2.857405803073998
0,5e-06,2,6,0,0.0
0,5e-06,2,7,0,0.0
0,5e-06,2,8,0,0.0
0,5e-06,2,9,0,0.0
0,5e-06,2,10,1,4.36004170728177
0,5e-06,2,11,0,0.0
0,5e-06,3,0,0,0.0
0,5e-06,3,1,0,0.0
0,5e-06,3,2,0,0.0
0,5e-06,3,3,0,0.0
0,5e-06,3,4,0,0.0
0,5e-06,3,5,0,0.0
0,5e-06,3,6,1,1.3431147863579702
0,5e-06,3,7,1,1.3431147863688861
0,5e-06,3,8,0,0.0
0,5e-06,3,9,0,0.0
0,5e-06,3,10,0,0.0
0,5e-06,3,11,1,1.5775470372199851
0,5e-06,4,0,1,2.0325689300695595
0,5e-06,4,1,1,1.795519434065911
0,5e-06,4,2,1,1.1012603725884362
0,5e-06,4,3,1,1.101822758793888
0,5e-06,4,4,0,0.0
0,5e-06,4,5,0,0.0
0,5e-06,4,6,0,0.0
0,5e-06,4,7,0,0.0
0,5e-06,4,8,1,2.3624641837748945
0,5e-06,4,9,1,0.7274072285947373
0,5e-06,4,10,0,0.0
0,5e-06,4,11,0,0.0
0,5e-06,5,0,0,0.0
0,5e-06,5,1,0,0.0
0,5e-06,5,2,1,3.607497507494681
0,5e-06,5,3,1,2.6618444792674105
0,5e-06,5,4,1,3.9010305881326484
0,5e-06,5,5,1,3.474213973110498
0,5e-06,5,6,0,0.0
0,5e-06,5,7,0,0.0
0,5e-06,5,8,0,0.0
0,5e-06,5,9,1,4.229999356143455
0,5e-06,5,10,1,5.220910070904531
0,5e-06,5,11,0,0.0
0,5e-06,6,0,1,2.8730483921760412
0,5e-06,6,1,1,4.298387768018244
0,5e-06,6,2,0,0.0
0,5e-06,6,3,0,0.0
0,5e-06,6,4,1,5.766391379362782
0,5e-06,6,5,1,4.458429856024991
0,5e-06,6,6,0,0.0
0,5e-06,6,7,0,0.0
0,5e-06,6,8,1,3.7197924882577995
0,5e-06,6,9,0,0.0
0,5e-06,6,10,1,8.567830234621162
0,5e-06,6,11,0,0.0
0,5e-06,7,0,0,0.0
0,5e-06,7,1,0,0.0
0,5e-06,7,2,0,0.0
0,5e-06,7,3,0,0.0
0,5e-06,7,4,0,0.0
0,5e-06,7,5,0,0.0
0,5e-06,7,6,1,1.3062257364180565
0,5e-06,7,7,1,1.306225736448069
0,5e-06,7,8,0,0.0
0,5e-06,7,9,0,0.0
0,5e-06,7,10,0,0.0
0,5e-06,7,11,1,1.213820734116793
0,5e-06,8,0,1,4.125301821378362
0,5e-06,8,1,1,3.4997777333653404
0,5e-06,8,2,1,3.3961469344148134
0,5e-06,8,3,1,4.312257889866342
0,5e-06,8,4,1,10.436701335148376
0,5e-06,8,5,1,8.574747788905464
0,5e-06,8,6,0,0.0
0,5e-06,8,7,0,0.0
0,5e-06,8,8,1,4.162335057037781
0,5e-06,8,9,1,4.962279640801849
0,5e-06,8,10,1,16.0879504923789
0,5e-06,8,11,0,0.0
0,5e-06,9,0,1,2.3006942252081495
0,5e-06,9,1,1,3.0831076643942352
0,5e-06,9,2,1,3.130429048352077
0,5e-06,9,3,1,2.192358656860957
0,5e-06,9,4,1,3.502784981703791
0,5e-06,9,5,1,3.866815291926493
0,5e-06,9,6,0,0.0
0,5e-06,9,7,0,0.0
0,5e-06,9,8,1,2.942047350388985
0,5e-06,9,9,1,3.9082832994113024
0,5e-06,9,10,1,5.1102767384495085
0,5e-06,9,11,0,0.0
0,5e-06,10,0,1,2.0702741290989586
0,5e-06,10,1,1,3.0157704223101955
0,5e-06,10,2,1,2.926730997674036
0,5e-06,10,3,1,2.0212360522804684
0,5e-06,10,4,1,5.813927394771867
0,5e-06,10,5,1,4.712896263966329
0,5e-06,10,6,0,0.0
0,5e-06,10,7,0,0.0
0,5e-06,10,8,1,3.3061744727858233
0,5e-06,10,9,1,2.6555377414452277
0,5e-06,10,10,1,8.279165594606908
0,5e-06,10,11,0,0.0
0,5e-06,11,0,0,0.0
0,5e-06,11,1,0,0.0
0,5e-06,11,2,0,0.0
0,5e-06,11,3,0,0.0
0,5e-06,11,4,0,0.0
0,5e-06,11,5,0,0.0
0,5e-06,11,6,1,1.6331783944695837
0,5e-06,11,7,1,1.6331783944416154
0,5e-06,11,8,0,0.0
0,5e-06,11,9,0,0.0
0,5e-06,11,10,0,0.0
0,5e-06,11,11,1,1.5663416518556348
0.1,1e-05,0,0,1,2.2961746099262994
0.1,1e-05,0,1,1,2.335853311244583
0.1,1e-05,0,2,0,0.0
0.1,1e-05,0,3,0,0.0
0.1,1e-05,0,4,0,0.0
0.1,1e-05,0,5,0,0.0
0.1,1e-05,0,6,0,0.0
0.1,1e-05,0,7,0,0.0
0.1,1e-05,0,8,1,2.83376948282389
0.1,1e-05,0,9,0,0.0
0.1,1e-05,0,10,0,0.0
0.1,1e-05,0,11,0,0.0
0.1,1e-05,1,0,0,0.0
0.1,1e-05,1,1,0,0.0
0.1,1e-05,1,2,1,1.3640512388511188
0.1,1e-05,1,3,1,1.3516627158943293
0.1,1e-05,1,4,0,0.0
0.1,1e-05,1,5,0,0.0
0.1,1e-05,1,6,0,0.0
0.1,1e-05,1,7,0,0.0
0.1,1e-05,1,8,0,0.0
0.1,1e-05,1,9,1,1.3654612989686492
0.1,1e-05,1,10,0,0.0
0.1,1e-05,1,11,0,0.0
0.1,1e-05,2,0,0,0.0
0.1,1e-05,2,1,0,0.0
0.1,1e-05,2,2,0,0.0
0.1,1e-05,2,3,0,0.0
0.1,1e-05,2,4,1,2.868594033548453
0.1,1e-05,2,5,1,2.8566323805470173
0.1,1e-05,2,6,0,0.0
0.1,1e-05,2,7,0,0.0
0.1,1e-05,2,8,0,0.0
0.1,1e-05,2,9,0,0.0
0.1,1e-05,2,10,1,4.360041706466662
0.1,1e-05,2,11,0,0.0
0.1,1e-05,3,0,0,0.0
0.1,1e-05,3,1,0,0.0
0.1,1e-05,3,2,0,0.0
0.1,1e-05,3,3,0,0.0
0.1,1e-05,3,4,0,0.0
0.1,1e-05,3,5,0,0.0
0.1,1e-05,3,6,1,1.3513724773813125
0.1,1e-05,3,7,1,1.349607599790653
0.1,1e-05,3,8,0,0.0
0.1,1e-05,3,9,0,0.0
0.1,1e-05,3,10,0,0.0
0.1,1e-05,3,11,1,1.5775470370812976
0.1,1e-05,4,0,1,2.058529520392115
0.1,1e-05,4,1,1,1.7915017491278347
0.1,1e-05,4,2,1,1.1103278205438933
0.1,1e-05,4,3,1,1.0943269205322248
0.1,1e-05,4,4,0,0.0
0.1,1e-05,4,5,0,0.0
0.1,1e-05,4,6,0,0.0
0.1,1e-05,4,7,0,0.0
0.1,1e-05,4,8,1,2.382673617988064
0.1,1e-05,4,9,1,0.7302243331562436
0.1,1e-05,4,10,0,0.0
0.1,1e-05,4,11,0,0.0
0.1,1e-05,5,0,0,0.0
0.1,1e-05,5,1,0,0.0
0.1,1e-05,5,2,1,3.5922216787256414
0.1,1e-05,5,3,1,2.5303351336463873
0.1,1e-05,5,4,1,3.8624279526404273
0.1,1e-05,5,5,1,3.4222113951862303
0.1,1e-05,5,6,0,0.0
0.1,1e-05,5,7,0,0.0
0.1,1e-05,5,8,0,0.0
0.1,1e-05,5,9,1,4.154678372537615
0.1,1e-05,5,10,1,5.139880482067223
0.1,1e-05,5,11,0,0.0
0.1,1e-05,6,0,1,2.9174262354540663
0.1,1e-05,6,1,1,4.295950037631791
0.1,1e-05,6,2,0,0.0
0.1,1e-05,6,3,0,0.0
0.1,1e-05,6,4,1,5.907876542206618
0.1,1e-05,6,5,1,4.427588019602621
0.1,1e-05,6,6,0,0.0
0.1,1e-05,6,7,0,0.0
0.1,1e-05,6,8,1,3.768415482504967
0.1,1e-05,6,9,0,0.0
0.1,1e-05,6,10,1,8.622287034706591
0.1,1e-05,6,11,0,0.0
0.1,1e-05,7,0,0,0.0
0.1,1e-05,7,1,0,0.0
0.1,1e-05,7,2,0,0.0
0.1,1e-05,7,3,0,0.0
0.1,1e-05,7,4,0,0.0
0.1,1e-05,7,5,0,0.0
0.1,1e-05,7,6,1,1.3298687381450554
0.1,1e-05,7,7,1,1.3150214539628322
0.1,1e-05,7,8,0,0.0
0.1,1e-05,7,9,0,0.0
0.1,1e-05,7,10,0,0.0
0.1,1e-05,7,11,1,1.2138207339448188
0.1,1e-05,8,0,1,3.968712541445166
0.1,1e-05,8,1,1,3.64409531074055
0.1,1e-05,8,2,1,3.2579294722785543
0.1,1e-05,8,3,1,4.16600630391705
0.1,1e-05,8,4,1,10.872606601704193
0.1,1e-05,8,5,1,8.560228646440896
0.1,1e-05,8,6,0,0.0
0.1,1e-05,8,7,0,0.0
0.1,1e-05,8,8,1,4.303618154727391
0.1,1e-05,8,9,1,4.809293423828568
0.1,1e-05,8,10,1,16.015397722028933
0.1,1e-05,8,11,0,0.0
0.1,1e-05,9,0,1,2.143339402380826
0.1,1e-05,9,1,1,2.982426074255321
0.1,1e-05,9,2,1,3.1480024607929638
0.1,1e-05,9,3,1,2.1663266081811647
0.1,1e-05,9,4,1,3.324995384564086
0.1,1e-05,9,5,1,3.727144513882778
0.1,1e-05,9,6,0,0.0
0.1,1e-05,9,7,0,0.0
0.1,1e-05,9,8,1,2.899913003840489
0.1,1e-05,9,9,1,3.8475565577084274
0.1,1e-05,9,10,1,5.037978591924601
0.1,1e-05,9,11,0,0.0
0.1,1e-05,10,0,1,2.045711991459651
0.1,1e-05,10,1,1,2.981474935093869
0.1,1e-05,10,2,1,3.029126970183307
0.1,1e-05,10,3,1,2.038298222804828
0.1,1e-05,10,4,1,5.826614624396365
0.1,1e-05,10,5,1,4.654257732329555
0.1,1e-05,10,6,0,0.0
0.1,1e-05,10,7,0,0.0
0.1,1e-05,10,8,1,3.1971362359340243
0.1,1e-05,10,9,1,2.516534773087234
